"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","DEN_EIGEN12"
0,-2.3474135506553893,-2.2940691874608996,-1.974172393315108,-1.7119347483425833,-1.0684594221465213,-1.0000000000000016,-0.3823790609885809,-0.017123307338566974,1.6598200715556501,2.0752315081766164,2.4997678214980144,4.560732269017371
0,-2.6190132155949852,-2.2287448051805523,-1.9004155147500912,-1.5395846320130955,-1.0000000000000016,-0.9524618838075005,-0.3558473160850976,-0.10230994660887985,1.4456820802268624,1.991083600673596,2.701457715155791,4.560153917983959
1,-2.4766668980705138,-2.2951809628073763,-1.8525551743857367,-1.5664012458108516,-1.2560701213307741,-0.9999999999999998,-0.4013613261762106,-0.13491876743906295,1.521617147318391,2.2535232303261905,2.4672867129058504,4.740727405470095
1,-2.3301718829167033,-2.237798497641764,-1.974223159221414,-1.5490667801127422,-1.1221677752394914,-1.0000000000000033,-0.38632646597016673,-0.2129453336663386,1.2746343357543253,2.4534359876539047,2.524594632091744,4.560034939268649
0,-2.5201982448009503,-2.1207002336040555,-1.9565738584127723,-1.6352314592838837,-1.3016521532925862,-1.,-0.24828435608258373,-0.13856124151752236,1.4083287325248368,2.223846233816285,2.5536216062690316,4.735404974384198
1,-2.7203208291678806,-2.184765669055531,-2.000000000000001,-1.4091746997094894,-1.0000000000000004,-0.9999999999999996,-0.5729749875886101,-0.41421356237309537,1.741330110451395,2.0000000000000013,2.4142135623730967,5.145906075070122
1,-2.554205901707484,-2.3335236101791152,-1.9999999999999998,-1.208326074113226,-1.,-0.9999999999999994,-0.7277846098530388,-0.41421356237309503,1.6743163788327724,2.218333382711143,2.414213562373096,4.9311904343089505
1,-2.5563808714292184,-2.3280906955790788,-1.97244528046761,-1.2611240059300415,-1.,-1.,-0.6366589495026507,-0.28136801839509157,1.7467615265835885,2.055581448633451,2.4680684176500125,4.765656428436639
0,-2.5174451159544757,-2.3426718207964856,-1.9935641677886446,-1.2570434520375413,-1.0000000000000002,-0.9999999999999998,-0.5040487790291497,-0.23958716261809634,1.7476465676888169,2.1636897561350876,2.3602467977314423,4.582777376669046
1,-2.4159017367991096,-2.22050977246529,-2.0000000000000004,-1.4800243023901687,-1.0000000000000022,-1.,-0.41421356237309465,-0.33600253000808505,1.6131114360133085,2.207421573801875,2.4142135623730945,4.63190533184747
1,-2.5355875112297963,-2.3039175868524784,-1.9469794374026699,-1.6292300777809898,-1.000000000000002,-0.9999999999999999,-0.42978910267009446,-0.2492437015509503,1.592564988839516,2.0389375507889786,2.501326250769612,4.961918627088876
0,-2.7257466744653156,-2.1289040095119276,-1.9408919050052673,-1.3590302684914302,-0.9999999999999999,-0.9999999999999993,-0.47831389046108336,-0.36209695812482695,1.6540996467705484,2.0477597977839177,2.5196297537447614,4.7734945077606215
0,-2.5437540295173973,-2.2918652477944343,-2.085676386231823,-1.1195214364076658,-1.0000000000000027,-1.,-0.3533238841447273,-0.22545169532569684,1.64853254815404,2.1026314490199285,2.493136820332,4.3752918619157795
1,-2.5628259857156714,-2.1043320162809453,-1.8881061673060575,-1.6101401588458963,-1.0000000000000004,-0.7646867818266775,-0.3584410296853409,-0.12756864967804646,1.5921001879907384,1.9511062840538504,2.675928583270977,4.196965734023071
0,-2.733112432849056,-2.0955490978552564,-1.983429231807725,-1.2654492966752928,-1.,-0.9999999999999999,-0.47499408359022927,-0.24625983121043085,1.6025844868473988,2.058491957858738,2.559407987742096,4.578309541539756
1,-2.6254022267060737,-2.3041865520738347,-1.9406296641985807,-1.3193524510056114,-1.,-0.9999999999999999,-0.4796578392780265,-0.2576984180277404,1.4686554678902803,2.1078339200033613,2.5842576986556924,4.76618006474053
1,-2.6146869507986614,-2.3183603237842583,-1.9016323560395214,-1.3523421591068185,-1.0000000000000007,-0.9999999999999999,-0.368283067238018,-0.13978893336195847,1.3356260617905393,2.282698258130006,2.50072682461213,4.576042645796562
1,-2.525991792849334,-2.2224854988089,-1.9999999999999998,-1.167451766893738,-1.0000000000000002,-0.9999999999999999,-0.41421356237309626,-0.24630284842110373,1.2078901837450102,2.4142135623730967,2.5783155197554573,4.376026203472608
0,-2.5030692322879355,-2.3270477787446042,-1.8805641241263604,-1.6454831463542232,-1.,-0.9999999999999996,-0.45573752325734745,-0.12595224768271485,1.651112966746249,2.0223091182980637,2.4811508070831834,4.7832811603256875
1,-2.6994958635479955,-2.2941100251129973,-1.7559081861240697,-1.3110541693636057,-1.,-0.9999999999999997,-0.48716761849468826,-0.26522776797402986,1.609268117254467,2.1091896313367395,2.5139100657670097,4.580595816259166
1,-2.4530791904557985,-2.3025865774444987,-2.1332203108976056,-1.304482984280626,-1.0000000000000009,-0.9999999999999998,-0.4801856425527194,-0.09727599600895344,1.6116279437147494,2.0000000000000004,2.5887140938989437,4.5704886640265086
0,-2.5541677079900516,-2.2881145281670094,-1.9910250491393224,-1.429267035923841,-1.000000000000001,-0.9999999999999993,-0.373591237395453,-0.3062777568175011,1.428762832642293,2.252696131208091,2.5072273419858746,4.753757009596921
1,-2.452945446001347,-2.2990601196496154,-1.9630035634475873,-1.2591021647702234,-1.000000000000001,-1.0000000000000009,-0.4818178999025099,-0.36222301927130257,1.2976542714768613,2.3454364299138777,2.595166546893204,4.579894964758645
1,-2.739046348964767,-2.1764771425846208,-1.7770011206202945,-1.5621315159974916,-1.,-0.6562701288530032,-0.45923071119143055,-0.19947425809781713,1.6138617675028668,1.9443784452750943,2.6349912323623847,4.376399781169079
0,-2.6836594861700918,-2.2286118526742142,-1.8008638087218238,-1.6180655141078042,-0.9999999999999999,-0.5689963273733766,-0.3696969957541278,-0.2757080555778301,1.6563711574074167,1.8338160485092359,2.6798628171668453,4.375552017295769
1,-2.523606474290662,-2.1484725375235882,-1.9183198837126392,-1.6110800833536063,-1.0353096272778775,-0.5929778843173908,-0.4350023902961572,-0.13123961001687812,1.4852814456908479,2.0505104388821245,2.665887712637789,4.194328893578037
1,-2.6133147775489305,-2.32679306126011,-1.8719240084516882,-1.5935882224180669,-1.0309956351489389,-0.5279128629784352,-0.4684897219488887,-0.2094927115365736,1.4583520804090195,1.8559311845568827,2.746167526826687,4.582060209499042
