"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","FGRAPH_EIGEN1","FGRAPH_EIGEN2","FGRAPH_EIGEN3","FGRAPH_EIGEN4","FGRAPH_EIGEN5","FGRAPH_EIGEN6","FGRAPH_EIGEN7","FGRAPH_EIGEN8","FGRAPH_EIGEN9","FGRAPH_EIGEN10","FGRAPH_EIGEN11"
1,-2.283568293285086,-2.2734612171759934,-2.000000000000001,-1.4378287795591498,-1.1783815890665639,-0.6799370835372309,-0.42883267138874004,1.5554662741725902,1.7400725302312985,2.1401226681238836,4.846348161484994,-3.1759478508807932,-2.8593952822705977,-2.1938182013121956,-1.19618591343426,-1.1641788814148133,-0.3349683958634127,-0.2119544012761885,1.5994567772243595,2.552081133571792,2.9849110156561074,4.000000000000002
1,-2.4826000659682785,-2.282168111576221,-1.7971401665735203,-1.0000000000000004,-1.0000000000000002,-1.,-0.3658588463750867,1.261501044080243,1.8217545596438542,2.4396581751628417,4.404853411606167,-2.9682645894014272,-2.6694327777976805,-1.8769217611215925,-1.1912889523684187,-0.7650863497183787,-0.6589466029680064,-0.2357022308095092,1.7204877244289791,1.9368362678023725,2.708319271953662,4.
1,-2.4079698926508186,-2.,-1.9999999999999998,-1.1815233508314116,-1.,-0.7627549332153168,-0.4142135623730945,1.043296335428172,2.0975973637188425,2.414213562373096,4.211354477550533,-2.8756034817105203,-2.,-1.9129968880414943,-1.383065858791813,-0.7676990291167332,-0.5754930965811594,-0.3230710894582968,0.9434391134852393,2.0829292561338266,2.8115610740809487,4.000000000000001
1,-2.7487445525020813,-2.1181348489809038,-1.6504413050340814,-1.2169682011427303,-0.9999999999999986,-0.7888433751881099,-0.3404308792021997,0.7844442166026812,2.0152409212025852,2.438998501751519,4.624879522493319,-3.7709108482827323,-2.0560445145527266,-1.635153943371568,-1.4034341658914335,-1.,-0.4691351680011914,-0.39911383072025186,1.7188383130824065,2.48639334563325,2.5285608121042515,3.9999999999999956
1,-2.4440027348763813,-2.126252653850535,-1.8340476893832032,-1.667017482314636,-1.3076403833956676,-0.5052954757321471,-0.2915728393612478,1.47500695823439,1.760302093269433,2.0643367240789434,4.876183483331049,-4.029536991700377,-2.079067116360745,-1.9276054062847083,-1.5030800832235693,-1.3016854318021582,-0.542420304283255,-0.062167732594376975,1.803504175359912,2.4312294533001997,3.210829437589079,4.
0,-2.3559796263927346,-2.1517937650864054,-1.8444520623040204,-1.6681910195614358,-1.1683651673009623,-0.5945516212317764,-0.337994396323523,1.463483453710188,1.9428644161511117,2.0653043114219076,4.6496754769176505,-3.64328618335161,-2.4867045694044703,-1.9180029102654093,-1.560526985966861,-0.6815031012804827,-0.41513515221139813,-0.32158840726590165,1.5130783075350063,2.4414737077786524,3.0721952944324773,3.9999999999999973
0,-2.5154874944783687,-2.2440658399842524,-1.794178599605271,-1.204042433052552,-1.0000000000000007,-0.6646570740611153,-0.3350419951900954,1.4431764050450244,1.7549179678008995,2.347366648013175,4.212012415512554,-2.796440442882634,-2.3175263684891356,-1.8336060506096965,-1.3328105267486647,-0.7716608756905334,-0.6180339887498941,-0.33494424852732074,1.618033988749894,1.7811745572953162,2.60581395565267,4.000000000000001
1,-2.3981359863640144,-1.9999999999999998,-1.9999999999999996,-1.5320888862379562,-1.2530891581881225,-0.3906932272652141,-0.34729635533385994,1.377628858285636,1.8793852415718175,2.2317285801670677,4.432560933364647,-2.8593952822705977,-2.1938182013121956,-2.,-1.5320888862379565,-1.19618591343426,-0.3472963553338628,-0.3349683958634143,1.59945677722436,1.8793852415718195,2.984911015656107,4.000000000000002
1,-2.8307588506041785,-2.,-1.8966815533024084,-1.4363309145664749,-1.414213562373095,-0.10297405808504569,2.511834987706677e-16,0.8704486180417598,1.4142135623730956,2.2480674167529684,5.148229341763384,-5.112135701929491,-2.1620500054260443,-1.8270909152852026,-1.4064293241245618,-1.338261212717717,-0.1685729704268511,0.2090569265353067,1.9562952014676123,2.1902072131662123,3.6589807887407346,4.000000000000001
1,-2.5067655780123843,-2.1246233717109,-1.9999999999999998,-1.4142135623730954,-1.1591998993739345,-0.3851245930343751,-2.4139390838680025e-16,1.205689587205517,1.4142135623730963,2.4936157259904648,4.476408128935611,-3.8253468607981453,-1.9999999999999996,-1.939625741296819,-1.4142135623730947,-0.9573862138935071,-0.273638912178997,-5.826553558769168e-16,1.4142135623730963,2.2400161984437283,2.755981529723739,4.
1,-2.4514050313476723,-2.305921563519773,-1.860084548325701,-1.4771743198394691,-1.2571673526382734,-0.25697549776512824,-5.832093400421729e-17,0.7619969090399473,1.7963227112034663,2.358300641190677,4.692108052001926,-3.851818508346313,-2.229119143642171,-1.9236738954713062,-1.4449973953015383,-1.1963620144656217,-0.09159226333615994,7.635307279192412e-16,1.2420062516579677,2.3458087387594975,3.1497482301456463,3.9999999999999987
1,-2.6734137895630443,-2.189191614030892,-1.8924415136330832,-1.4386471291903444,-1.1427841429468901,-0.4318810322581681,-0.2514533595083885,1.1231233178840503,1.3771829436347018,2.451313968666046,5.068192350946015,-4.371071358420776,-2.5435917309121305,-1.8723148841618555,-1.4709400071525862,-0.7887704256245408,-0.4734977371994346,-0.14952785124622045,2.310916881924427,2.3734237184127256,2.9853733943803906,4.
0,-2.474129685082873,-2.1263062393427132,-1.884508087131011,-1.5635318555808146,-1.2671768347228116,-0.5371986044929081,-0.23471245125958604,1.2006059466897272,1.5594872743959365,2.5034067268416025,4.824063809685448,-3.251738775165298,-2.505871918981773,-2.1300518882125297,-1.4161267872323935,-1.2188917285714296,-0.6504633901346539,-0.17790885914137228,1.793232604580237,2.7374095841105017,2.8204111587487093,4.000000000000002
0,-2.4627389110755735,-2.1283066838923834,-1.9033822312565578,-1.5615187161701694,-1.093177395618226,-0.5633245273169947,-0.19418999913466992,0.9668698401668642,1.8389418751080622,2.4858648247449233,4.614961924444723,-2.859624969098019,-2.5371678850121793,-1.8682020010659408,-1.5051563943550395,-1.2995118265476846,-0.5951749212655015,-0.16591199190243627,1.1317592703675439,2.7097955834506,2.989195135428656,4.000000000000001
1,-2.4627389110755735,-2.1283066838923834,-1.9033822312565578,-1.5615187161701694,-1.093177395618226,-0.5633245273169947,-0.19418999913466992,0.9668698401668642,1.8389418751080622,2.4858648247449233,4.614961924444723,-3.070101617870633,-2.5848149640623728,-2.203677012622449,-1.503657300579076,-0.9775694250890914,-0.23266618645966927,-0.0697964852731278,1.4042225771832109,2.4307439642131894,2.807316450560022,3.9999999999999982
0,-2.6725797727152907,-2.203583029888163,-1.743321152868632,-1.4088641780054518,-1.0000000000000009,-0.466683329437713,-0.13002391185116813,0.664931483798781,1.667229444325875,2.6646554622980845,4.628238984343678,-3.3458316416947302,-2.5845823009353555,-1.6431404583490086,-1.4166498442108506,-0.9048821107483334,-0.5071114083699673,-0.3369004255827121,1.3974267799097597,2.601793090480871,2.7398783195003302,3.9999999999999996
0,-2.699719958630173,-2.1556166819283207,-1.5741004345820515,-1.38456575414141,-0.9999999999999983,-0.631743481107652,-0.2970251179776001,1.050547421091778,1.660424562612872,2.6217718550290123,4.410027589633541,-2.91179140294805,-2.339521368335192,-1.861976962043253,-1.4316191740898276,-0.9999999999999987,-0.6000762602745929,-0.26739270223007,1.2760195470605082,2.1935364944935927,2.9428218283668817,4.000000000000002
1,-2.483622196828656,-2.443666345933293,-1.7103896698876286,-1.3654692552625942,-0.882502926343916,-0.4988836106175295,-0.3812944057315451,0.7276264437884371,1.8511522322197667,2.565408143594583,4.6216415910023745,-3.3076627021361436,-2.661271161743789,-1.8651242148849865,-1.4648865844155514,-0.8472996914390176,-0.43973153285096506,-0.045258522308917554,1.5069746515553097,2.4223056087365697,2.701954149487492,4.000000000000001
0,-2.5847516557283594,-2.,-1.8101043819612441,-1.3385243989268916,-1.0000000000000029,-0.5503453773146492,-0.32623002061931144,0.5266023233534084,2.022501573764431,2.651224708084548,4.40962722934807,-2.973070793439636,-2.1204158585282378,-1.9050075114166494,-1.4383467995734311,-1.0000000000000013,-0.5094935126851603,-0.17545840086615858,0.5959157759406318,2.5991586026578872,2.926718497910756,4.
