"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","DEN_EIGEN12","DEN_EIGEN13"
1,-2.619172669724708,-2.300753064003377,-1.981763781303522,-1.664802900094613,-1.324652409606825,-0.9530457401012696,-0.6898561616689066,-0.30405597555238634,0.05905790016631002,1.9400974921827971,2.26728839019616,2.7034502335207287,4.868208685989614
0,-2.3893996400344353,-2.264745662243174,-2.,-1.749324014250658,-1.4888704471542022,-0.9999999999999998,-0.5431164629447707,-0.2959168554564173,0.19705771269662842,1.6875864214190581,2.2380870951725487,2.8930702712204925,4.715571581574929
1,-2.3922273449200646,-2.3692339295701164,-2.0000000000000004,-1.8228050650899519,-1.3531207807473116,-1.215603177651573,-0.48237700687922147,-0.25603774278454294,0.17009859759574042,1.8690901182526596,2.2486716934566733,2.7414446681651756,4.8620999701725305
1,-2.5090530075293023,-2.3290503677122216,-1.976591811348517,-1.671035093667915,-1.2935636687580356,-1.1157893892830233,-0.7142700254551538,-0.29949090912820986,0.02714095865954718,2.038896226407744,2.4618198836862084,2.549253734714041,4.831733469414841
1,-2.4719232633641313,-2.3546983179253047,-2.040035825652498,-1.6669087826937905,-1.381636250950705,-0.907592230303096,-0.6214613317075989,-0.23940184123637787,0.027892472238949525,2.132217678669859,2.2488600831951464,2.5972840627383653,4.677403546991182
1,-2.6510561708361324,-2.2610269653342927,-1.8758407110194175,-1.7434175335083568,-1.3684508366629278,-0.9110692217981164,-0.550031925095543,-0.3042992323850153,0.07080626785265617,1.8420447682385455,2.3645941294481307,2.7128835765920574,4.674863854508414
1,-2.5321420224244755,-2.1664404738866874,-1.9999999999999991,-1.8871771908097812,-1.3039573388532169,-1.2783577080132447,-0.703933333045523,-0.08001823000280298,0.03532691057657303,1.7809435701190786,2.3673323746396253,2.75605957490164,5.012363866798813
1,-2.3865272395472634,-2.3337226507252646,-2.0000000000000027,-1.9397081731319465,-1.3145495417721456,-1.0596724799405783,-0.7060966230806646,-0.041581916652923434,0.08366932292716943,1.665739957172403,2.4175211240725543,2.7767249776923397,4.8382032429863155
1,-2.388483662838564,-2.329413370189035,-2.0000000000000018,-1.762102741729814,-1.375646287431094,-0.9077478778546936,-0.6219924813026658,-0.16411770442381862,0.03302217113276582,1.406723425283526,2.5951897457948525,2.839566622520034,4.675002161038508
1,-2.6505609503184866,-2.284072578929812,-2.0000000000000013,-1.6047242236714137,-1.3399476689171392,-0.9530460131138047,-0.7014577410037247,-0.196051242840783,0.02214676023758977,1.5376444331602686,2.586169090799283,2.758199206548104,4.82570092804992
1,-2.5193159026717464,-2.168940075156457,-1.9999999999999987,-1.8312032344103406,-1.447975934305477,-1.2015068784372946,-0.6349488498345216,-0.060112599101035356,0.23402087523349527,1.57832431372801,2.3562931516467933,2.8625172754072894,4.8328478579012835
1,-2.4976791582810285,-2.170564473134984,-2.0000000000000027,-1.67727205361883,-1.5319749983102424,-0.9999999999999997,-0.5760663599982724,-0.14626479846216167,0.1486352855603727,1.3259172453510981,2.540354174863844,2.9155890554112083,4.669326080618997
1,-2.7610242784561727,-2.000000000000002,-2.000000000000001,-1.6917366007729164,-1.3070476856923177,-1.1153400045282287,-0.7216281058276293,-0.20861260044177948,-6.245004513516506e-16,1.9900864405479952,2.161066017004149,2.8088286949478474,4.845408123219053
1,-2.7929059525778825,-2.0956159054994004,-2.0000000000000004,-1.596905791769116,-1.407133473809235,-0.9110696526515716,-0.5961801257559489,-0.12381470433250709,0.04459743378519774,1.7386874615236392,2.1196309012096592,2.938098726991657,4.682611082885505
1,-2.569955733337367,-2.26545924729196,-1.9716162183439236,-1.6611696809210663,-1.2895375327140597,-0.9999999999999996,-0.9999999999999993,-0.3420939543442402,0.018330109715127354,2.0945721885166555,2.293850372643964,2.7074007868573946,4.985678909219477
1,-2.480741632171607,-2.2348503859371194,-2.0838768937734438,-1.7359537008143104,-1.2888729104246222,-1.109605657193139,-0.7494514748786556,-0.2800421412368354,0.11462168009449869,2.119477993635211,2.2319627170892646,2.659908177873528,4.837424227737232
1,-2.643258753392086,-2.137943739214201,-2.0000000000000004,-1.7859004453852223,-1.3291804836945307,-1.0000000000000002,-0.5808317695787282,-0.1923560578069393,0.09727641101144847,1.9115419368342466,2.235095527106311,2.7423937829870555,4.683163591132641
1,-2.6488075281689434,-2.1864776581335943,-1.9596700624836603,-1.727671355584107,-1.447785589682981,-1.0412312997695936,-0.45464252003357375,-0.31016501204586,0.02556660649509466,1.8489722150663113,2.198905970128531,2.858492723810874,4.8445135104015025
1,-2.47756762299034,-2.2686883191097915,-1.9999999999999998,-1.8895629141315124,-1.4570722276114716,-1.1287910309644713,-0.5754794858092818,-0.1481573947514261,0.0965221908582157,1.7319071465230078,2.24715590506229,2.8465138024577668,5.023219950467018
1,-2.4624707163124113,-2.2572874031948236,-2.0778605675442114,-1.8774639086892584,-1.3806025349992375,-1.0403294756569994,-0.6652361188053472,1.3944824458513553e-16,0.15609369369787732,1.5907953968693664,2.4008590892030472,2.742373918110502,4.871128627321494
1,-2.459177708294497,-2.3462920917496626,-2.0000000000000004,-1.812137171595487,-1.3939291416380215,-0.9294806383657056,-0.7081102365242631,1.0336031620405728e-15,0.26721005139999326,1.4541127114888146,2.5065241808772396,2.749152303312508,4.672127741089076
1,-2.4240340751299603,-2.378818805414318,-2.000000000000001,-1.9739071775272963,-1.5320888862379574,-0.9656354459916368,-0.38300775574876245,-0.3472963553338614,0.01563625135202135,1.8793852415718182,2.0381998301384283,2.8610022913032047,5.2105648870183225
1,-2.4256175756592775,-2.346498365449703,-1.999999999999999,-1.975100765171933,-1.4643417618549777,-0.9551846675934006,-0.5838554983940066,-0.21815092309118383,0.16298341716238351,1.82785187037508,2.1904560708037124,2.715553879017498,5.071904319855808
1,-2.534688432556478,-2.260743089131259,-2.,-1.8634225987402118,-1.4407151246881482,-0.9124579931733651,-0.4513157305708623,-0.40140935106241754,0.16273484089110218,1.9363454495494694,2.1654127915280394,2.711071009552361,4.889188228401767
