"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11","DEN_EIGEN12","FGRAPH_EIGEN1","FGRAPH_EIGEN2","FGRAPH_EIGEN3","FGRAPH_EIGEN4","FGRAPH_EIGEN5","FGRAPH_EIGEN6","FGRAPH_EIGEN7","FGRAPH_EIGEN8","FGRAPH_EIGEN9","FGRAPH_EIGEN10","FGRAPH_EIGEN11","FGRAPH_EIGEN12"
1,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.592550472188497,-2.7660744436977662,-2.273301743261856,-1.8246375868453222,-1.175275531830282,-0.7722153869003661,-0.39217138406561114,0.18515715773444275,2.736581216413144,2.8033467770435943,3.0711413975985185,3.999999999999999
0,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.494524698698564,-2.502523416571374,-2.3819786513949155,-1.7366161815780947,-1.5044061674969278,-0.6930823660047317,-0.3581145165752251,-0.12993650192711376,2.7568835394482853,2.8220204924235817,3.222278468375076,4.000000000000001
1,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.6783108615243227,-3.023940886499065,-2.615310124111616,-1.4157146735123172,-0.9880744589660392,-0.525910442547619,-0.21361176890662378,0.16837529672029486,2.383689557027565,2.865301866718105,3.043506495601641,3.9999999999999996
1,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.5890874973210205,-3.092195763927794,-2.,-1.9129968880414883,-0.9865322598478184,-0.5754930965811617,-0.3230710894582952,-0.08826399531902676,2.809068163036858,2.8115610740809482,2.947011353378798,4.000000000000001
1,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.565654813945146,-3.0820809417086914,-2.,-1.4612901320885805,-1.4101786031056314,-0.604805701679471,-0.39802571852732677,-0.1520948733641768,2.758919744559181,2.8902852633416503,3.024925776518193,4.000000000000002
1,-2.472833908995255,-2.1567118035339137,-1.9999999999999978,-1.4625984229747742,-1.3194788091658705,-0.9999999999999997,-0.7151720403766123,-0.41421356237309465,1.9354323319700286,2.139959784262294,2.414213562373094,5.051402868814101,-3.6462968612230164,-2.8903472412869293,-2.6528703630953854,-1.4959104626995723,-0.7758169699401213,-0.7607171933512754,-0.3731206120483123,0.20138255771963565,2.408187277983406,2.9606921162069875,3.0248177517345813,4.000000000000003
1,-2.442575873732036,-2.236067977499789,-1.9999999999999982,-1.3255686652367187,-1.0000000000000002,-1.,-1.,-0.41421356237309337,1.9054241428804812,2.2360679774997894,2.4142135623730923,4.862720396088275,-3.177409680899284,-2.8820205448570677,-1.9999999999999993,-1.9999999999999993,-1.2360679774997905,-0.6783628257367046,-0.22346207166923454,-2.440263225314683e-16,1.8557725066359896,3.1054826165263028,3.236067977499789,3.9999999999999996
1,-2.442575873732036,-2.236067977499789,-1.9999999999999982,-1.3255686652367187,-1.0000000000000002,-1.,-1.,-0.41421356237309337,1.9054241428804812,2.2360679774997894,2.4142135623730923,4.862720396088275,-3.0322475511229894,-2.9915695911131577,-2.5697634645409755,-2.0000000000000004,-0.7961795736232,-0.27370827587241026,-0.20889040074774465,-0.20382042637679948,2.0322475511229916,2.8434717404133862,3.200459991860902,4.
1,-2.442575873732036,-2.236067977499789,-1.9999999999999982,-1.3255686652367187,-1.0000000000000002,-1.,-1.,-0.41421356237309337,1.9054241428804812,2.2360679774997894,2.4142135623730923,4.862720396088275,-2.882020544857069,-2.,-2.,-1.9999999999999993,-1.9999999999999984,-1.2360679774997894,-0.4142135623730947,-0.22346207166923412,2.414213562373094,3.1054826165263023,3.236067977499789,3.9999999999999996
1,-2.442575873732036,-2.236067977499789,-1.9999999999999982,-1.3255686652367187,-1.0000000000000002,-1.,-1.,-0.41421356237309337,1.9054241428804812,2.2360679774997894,2.4142135623730923,4.862720396088275,-3.0781044865074936,-2.746568246995718,-2.0000000000000004,-2.,-1.7968197936745562,-0.45490409122352354,-0.22639602134392997,8.298083430769372e-16,2.2088108920678553,2.892509409458124,3.2014723382192405,4.000000000000001
