Spectral_algebraic_connectivity,Spectral_spectral_gap,Spectral_laplacian_mean,Spectral_laplacian_std,Spectral_laplacian_skew,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Spectral_laplacian_heat_trace_t0.1,Spectral_laplacian_heat_trace_t1.0,Spectral_laplacian_heat_trace_t5.0,Spectral_algebraic_connectivity_over_avgdeg,Spectral_spectral_gap_rel,Spectral_laplacian_heat_trace_t0.1_per_node,Spectral_laplacian_heat_trace_t1.0_per_node,Spectral_laplacian_heat_trace_t5.0_per_node,Spectral_kirchhoff_index,Spectral_laplacian_heat_trace_t0.5,Spectral_laplacian_heat_trace_t2.0,Spectral_adjacency_energy,Spectral_adjacency_estrada_index,Spectral_adjacency_moment_2,Spectral_adjacency_moment_3,Spectral_adjacency_moment_4,sample_index
-0.24846242,0.020125676,-0.003544891,-0.043662705,-0.05710498,-0.39362735,0.0009884409,-0.4152776,1.0627804,-0.339281,-0.43590254,-0.2858149,-0.30810726,-0.62398016,-0.81001085,0.013136007,-0.59405446,-0.1024847,0.4323693,0.030262377,-0.011956123,-0.07094086,-0.016165314,-0.1167491,0.016257705,0.04772157,0.3116715,-0.11982192,0.0,-0.08421638,-0.2788499,10
-0.13279103,-0.024506377,-0.006353026,-0.008610767,0.04672329,0.40212858,0.0011008448,0.008105621,0.6948941,0.5769783,-0.30695358,-0.30507165,-0.065703996,-0.123082764,-0.31023344,0.30889362,0.07372778,-0.05080979,-0.14175883,-0.037992477,0.034025136,-0.016403807,0.011608256,0.012253464,0.22224206,-0.017454764,0.21716246,0.34795153,0.0,0.016830062,1.6401122,11
-0.30689427,-0.10626312,-0.01529746,-0.011202745,-0.06488527,-0.1802969,0.013066526,-0.17537692,-0.20944607,0.22642134,0.031233396,0.24158446,-0.33958295,-0.24490646,-0.40881982,-0.026253441,-0.6885233,-0.25420004,-1.0076021,-0.1224105,-0.006744033,-0.08621275,-0.041031394,-0.34422675,-0.023104155,-0.6693968,0.36605036,0.35393956,0.0,0.08989556,-0.44951874,12
-0.55036646,-0.14534043,-0.0035989608,-0.0052904054,-0.07144452,0.06959856,0.002367245,-0.3336028,-0.20178056,0.36613598,0.4400763,-0.4829492,-0.21727876,-0.047575682,-0.5855034,-0.010073685,-0.30131784,-0.3161362,-4.493449,-0.45880842,0.0092770755,-0.021370657,-0.03615363,-0.09640136,-0.022219794,-0.21367696,0.4262565,-0.09831924,0.0,-0.022028599,-0.32649145,13
-0.37899095,-0.077709116,-0.01867066,-0.01610924,-0.19561838,-0.41153187,-0.0046469523,-0.09090683,-0.24064097,-0.9371997,-1.1360189,-0.58740914,-0.25382203,-0.1775177,0.99621403,0.0626322,0.01802279,-0.5615615,0.01892838,0.01740574,0.0015474395,-0.02604801,-0.043095674,0.054991007,-0.086332485,-0.3155879,-0.014627655,-0.24655305,0.0,0.07934709,-0.3459531,14
-0.19326563,-0.07045829,-0.0059139095,-0.0038514342,-0.04012136,0.77654,-0.00070981047,0.3572772,0.12218326,-0.1766525,0.28861463,-0.26245698,0.45078284,-0.029583778,1.1215589,0.15922095,0.051440034,-0.32728335,0.39689443,0.026999135,0.01953562,-0.032587048,-0.054036774,0.047370903,0.059908148,-0.08041965,0.34929788,0.36516362,0.0,0.11259061,0.052231234,15
0.25368467,0.061085798,-0.002226659,0.11195239,0.33383238,0.34399354,0.007242938,-0.031165631,0.2601161,0.19765025,-0.17512783,0.11377663,0.4108032,0.25460273,0.16044326,-0.001074705,0.08253729,0.1916343,0.5583243,0.07962048,-0.0022937877,-0.12758876,-0.004592712,0.0020588255,-0.026881155,1.9437736,0.013285983,0.050635725,0.0,0.05395688,0.013400561,16
-0.30611026,-0.13988416,-0.026033808,-0.1378428,-0.03104826,0.29600197,0.00062464643,-1.3092669,-0.22048682,-0.122641645,-0.14871912,0.3808117,-0.34678042,0.60722,0.05418237,-0.5153291,-0.27920964,-0.14706385,-0.88786185,-0.08939423,-0.09117635,0.020348748,-0.020404434,-0.43534938,-0.15417908,-0.2199239,0.029617162,-0.59836656,0.0,-0.76748866,-0.5305901,17
-0.11835849,-0.0306964,-0.0062468722,0.01033564,0.26477203,0.42523962,0.0057538096,0.109783836,0.14729303,0.8939657,-0.33286434,0.13225316,0.14269659,-0.1570559,-0.21053691,0.32270372,-0.2752895,-0.15555967,0.8978018,0.074895315,0.027895726,-0.035468377,0.0087910285,0.03192451,0.10472689,-0.20343377,0.63129866,0.07321671,0.0,-0.031480666,1.6319532,18
-0.4445427,-0.08602024,-0.0027499113,-0.010743021,-0.04888577,-0.069737256,-0.006390612,-0.16175312,1.2439824,0.29044715,-0.26141906,-0.09760615,-0.018977646,-0.3880097,-0.36770192,0.11273861,-0.07585038,-0.17952412,-4.493576,-0.3789323,0.014929711,-0.0070039835,-0.010064753,-0.02355713,0.08012073,-0.1162541,0.3578174,0.35999906,0.0,-0.015050026,0.7515693,19
