Motif_triangles,Motif_wedges,Motif_4_cycles,Motif_4_cliques,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_std,Motif_square_clustering_proxy,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_frac_zero,Motif_triangle_edge_frac_ge2,Motif_induced_K1_3,Motif_induced_P4,Motif_induced_C4,Motif_induced_TailedTriangle,Motif_induced_Diamond,Motif_induced_K4,Motif_induced_connected_per_4set,Motif_triangles_per_Cn3,Motif_4_cycles_per_Cn4,Motif_4_cliques_per_Cn4,Motif_wedges_per_max,Motif_induced_K1_3_per_Cn4,Motif_induced_P4_per_Cn4,Motif_induced_C4_per_Cn4,Motif_induced_TailedTriangle_per_Cn4,Motif_induced_Diamond_per_Cn4,Motif_induced_K4_per_Cn4,Motif_5_cycles,Motif_5_cliques,Motif_induced_g_1_4,Motif_induced_g_2_4,Motif_induced_g_3_4,Motif_induced_g_4_4,Motif_induced_g_5_4,Motif_induced_g_6_4,Motif_induced5_g_0_5,Motif_induced5_g_1_5,Motif_induced5_g_2_5,Motif_induced5_g_3_5,Motif_induced5_g_4_5,Motif_induced5_g_5_5,Motif_induced5_g_6_5,Motif_induced5_g_7_5,Motif_induced5_g_8_5,Motif_induced5_g_9_5,Motif_induced5_g_10_5,Motif_induced5_g_11_5,Motif_induced5_g_12_5,Motif_induced5_g_13_5,Motif_induced5_g_14_5,Motif_induced5_g_15_5,Motif_induced5_g_16_5,Motif_induced5_g_17_5,Motif_induced5_g_18_5,Motif_induced5_g_20_5,Motif_induced_connected_per_5set,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4_per_Cn4,Motif_5_cycles_per_Cn5,Motif_5_cliques_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5_per_Cn5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_20_5_per_Cn5,sample_index
-0.0044303504,-0.006859324,0.19390355,0.0,0.01933445,-0.37526974,0.0,0.0,0.0,-0.044114552,0.040543873,-0.046776507,0.12303248,0.0320831,-0.5602672,0.0,0.0,-0.12797971,0.0,0.061055414,0.0,0.0,0.0,-0.00456086,-0.007437756,-0.2633685,0.0,0.0,-0.0005539947,0.0,-0.019177148,-0.0034039207,0.0,-0.031401888,0.0,0.0,0.0,-0.057890765,0.053335004,-0.015607031,-0.016017178,-0.009510761,-0.091148,-0.0039909985,0.02727548,0.32459122,-0.0020693052,0.049857732,0.0,0.0,0.0,0.08701453,0.0022589893,0.0,0.056668784,0.0,-0.09977575,0.00316307,0.0,0.0,-0.054560527,0.0,0.0,0.0,0.0,-0.013239933,0.0,-0.015117981,0.04412157,-0.0024239921,-0.0031674772,0.0054605165,-0.021960124,-0.0004845159,0.003525918,0.029190455,0.009932499,-0.016352886,0.0,0.0,0.0,0.003124934,0.0020111958,0.0,0.0068068975,0.0,11
0.034755856,0.031593703,-0.0042120535,0.0,0.005636479,0.044564612,0.0,0.0,0.0,0.0050255535,-0.0022517277,-0.05719707,-0.091899835,-0.04085256,0.74524313,0.0,0.0,0.19376425,0.0,-0.0027959798,0.0,0.0,0.0,-0.004306604,-0.014611265,0.12449942,0.0,0.0,-0.018108387,0.0,-0.009751547,-0.0018207207,0.0,0.060586613,0.0,0.0,0.0,0.102070905,-0.3170226,0.03449945,-0.046453882,-0.020583559,0.006096433,-0.002942124,-0.13038115,0.18925124,0.0019801967,-0.008830181,0.0,0.0,0.0,-0.008970278,-0.019529235,0.0,-0.13609917,0.0,0.074342154,0.007913233,0.0,0.0,0.01632083,0.0,0.0,0.0,0.0,0.0010731764,0.0,0.035712615,-0.23640463,0.012601011,0.0030863453,-0.0077569364,0.020783499,0.0039347713,-0.029372472,0.009237735,-0.017069234,0.01001181,0.0,0.0,0.0,0.0013344147,-0.014220346,0.0,-0.013537181,0.0,12
-0.0044303504,-0.009866105,-0.02783191,0.0,-0.012282313,0.05563631,0.0,0.0,0.0,0.01140528,-0.0058911284,-0.0351577,0.1638092,-0.09748775,-0.13298489,0.0,0.0,0.041033164,0.0,-0.015979644,0.0,0.0,0.0,-0.006631491,-0.012474304,-0.07251972,0.0,0.0,-0.0051711695,0.0,-0.021779463,-0.0034039207,0.0,-0.061293297,0.0,0.0,0.0,0.23262347,-0.17970283,-0.011825761,0.14600927,-0.0034113412,0.012530009,-0.008848727,0.044749077,-0.06851928,-0.0016047815,-0.028139444,0.0,0.0,0.0,-0.015852217,0.0054511786,0.0,0.081006706,0.0,-0.026822235,0.007913233,0.0,0.0,-0.023943169,0.0,0.0,0.0,0.0,0.0010252685,0.0,0.035712615,-0.12408328,-0.0026220162,-0.0065057725,0.00978638,0.020783499,0.0033707358,0.0084159225,-0.037801415,0.01641028,-0.022525828,0.0,0.0,0.0,0.003124934,0.005049638,0.0,0.016201781,0.0,13
-0.0044303504,-0.0072746724,0.00073995744,0.0,-0.012282313,0.087396435,0.0,0.0,0.0,0.011483812,-0.0044404417,-0.027267098,0.20237394,0.0335127,-0.13804367,0.0,0.0,0.04469481,0.0,-0.0105055235,0.0,0.0,0.0,-0.006631491,-0.012474304,0.09353204,0.0,0.0,0.0019561206,0.0,-0.029487837,-0.00045420043,0.0,-0.008286723,0.0,0.0,0.0,-0.023201555,0.19314879,-0.015606124,0.036573157,0.00039462675,-0.07361531,-0.008848727,0.04717243,-0.046077147,-0.02121251,-0.01361106,0.0,0.0,0.0,0.024248548,0.0054511786,0.0,0.08232665,0.0,0.11850277,0.007913233,0.0,0.0,0.02830948,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.00015020091,0.11400009,-0.006266031,-0.0016330003,0.00978638,-0.053041346,0.004640007,0.0084159225,0.0050586914,-0.036394916,-0.014206818,0.0,0.0,0.0,0.003124934,0.005049638,0.0,0.016201781,0.0,14
-0.0044303504,-0.008736464,0.117285915,0.0,0.018016972,0.066441566,0.0,0.0,0.0,0.011483812,-0.0049923765,-0.01023292,0.18630658,0.038194504,-0.09245107,0.0,0.0,-0.10956525,0.0,0.02644975,0.0,0.0,0.0,-0.0067119496,-0.014227161,-0.028435677,0.0,0.0,-0.0044746017,0.0,-0.011468774,-0.0034726635,0.0,-0.037690163,0.0,0.0,0.0,0.24912247,0.0701495,-0.015094865,-0.013513877,0.0015996923,-0.07361531,0.08361633,0.034296166,-0.03292133,0.012289126,-0.023670867,0.0,0.0,0.0,0.026962187,0.0054511786,0.0,0.06717187,0.0,-0.2378154,0.00316307,0.0,0.0,-0.0064917468,0.0,0.0,0.0,0.0,0.0010414094,0.0,0.12110687,0.06425968,-0.0024239921,0.00079247914,0.012625717,-0.053041346,-0.01642264,0.0084159225,0.0015788461,-0.036394916,-0.022525828,0.0,0.0,0.0,-0.017756844,0.005049638,0.0,0.016201781,0.0,15
-0.0044303504,-0.00645619,-0.22122443,0.0,-0.012282313,0.063291974,0.0,0.0,0.0,0.013180026,-0.0058911284,0.067207605,-0.2712092,0.050942283,-0.09833623,0.0,0.0,0.007571482,0.0,-0.087282956,0.0,0.0,0.0,-0.006631491,-0.0111953225,0.048490882,0.0,0.0,0.007462011,0.0,-0.01976284,-0.022319056,0.0,-0.013872817,0.0,0.0,0.0,0.10230952,0.085332714,-0.011825761,0.14538752,0.008872014,0.015980465,-0.008848727,0.04065776,-0.061757524,0.004460288,-0.018781994,0.0,0.0,0.0,0.09509739,0.0054511786,0.0,0.08277873,0.0,0.14359204,-0.010550247,0.0,0.0,-0.018425254,0.0,0.0,0.0,0.0,0.0010252685,0.0,0.035921246,0.06126688,-0.0026220162,0.00991023,0.0078123286,0.007686033,0.0033707358,0.0084159225,-0.0349353,0.022982512,-0.016582988,0.0,0.0,0.0,0.001231372,0.005049638,0.0,0.016201781,0.0,16
-0.0019045942,-0.0060369475,0.029825743,0.0,-0.012282313,0.07581305,0.0,0.0,0.0,0.007957391,-0.0037183212,0.10810459,-0.33307287,0.28735134,-0.06776034,0.0,0.0,0.0494669,0.0,-0.013015298,0.0,0.0,0.0,0.09676069,0.17662205,0.08701568,0.0,0.0,0.007462011,0.0,0.07568571,-0.032394435,0.0,-0.0043541105,0.0,0.0,0.0,-0.0008519521,0.0979818,-0.012542934,-0.0061756894,0.014221903,0.015980465,-0.008848727,0.04953441,-0.037904214,0.009577843,-0.017990384,0.0,0.0,0.0,0.011003285,0.0054511786,0.0,0.06954693,0.0,0.15823357,-0.010550247,0.0,0.0,0.030779514,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.00015020091,0.071788654,-0.006266031,-0.0023358164,0.0035229663,0.007686033,0.004640007,0.0084159225,0.0050586914,0.022982512,-0.0118228,0.0,0.0,0.0,0.001231372,0.005049638,0.0,0.016201781,0.0,17
-0.0044303504,-0.007229617,0.03131637,0.0,-0.010954215,0.06556031,0.0,0.0,0.0,0.005757059,-0.0048161126,-0.029687036,0.15441015,-0.107495934,-0.13041295,0.0,0.0,0.05128991,0.0,-0.010506193,0.0,0.0,0.0,-0.0067668143,-0.011178477,0.093207374,0.0,0.0,-0.0025535382,0.0,-0.019744765,0.005733163,0.0,0.0031218715,0.0,0.0,0.0,-0.017805532,-0.1411868,-0.0155565925,-0.016615365,0.2384249,-0.05263973,-0.008848727,0.049839888,-0.06595978,0.0043792697,-0.02178584,0.0,0.0,0.0,-0.028701581,0.0054511786,0.0,0.07303472,0.0,0.11831882,0.007913233,0.0,0.0,0.03337462,0.0,0.0,0.0,0.0,0.0010252685,0.0,-0.002121383,-0.08666082,-0.0026220162,-0.0016330003,0.01825834,-0.053041346,0.0017244057,0.0084159225,-0.034798812,0.009473385,0.016031865,0.0,0.0,0.0,0.003124934,0.005049638,0.0,0.016201781,0.0,18
-0.0044303504,0.019398516,0.16352375,0.0,0.01972982,-0.21074785,0.0,0.0,0.0,-0.025755193,-0.0058247596,-0.0018230136,0.11659056,0.2180483,-0.5437331,0.0,0.0,-0.10106501,0.0,0.048251424,0.0,0.0,0.0,-0.0033917967,0.14075331,-0.22617832,0.0,0.0,0.073265426,0.0,-0.011468774,-0.009778358,0.0,-0.026504902,0.0,0.0,0.0,0.24150719,0.111544594,-0.009877966,0.013723162,0.0025449889,0.019316275,-0.0034216153,0.024445375,0.24366769,0.0035774559,-0.030853797,0.0,0.0,0.0,-0.01681609,0.0022589893,0.0,0.048999548,0.0,-0.18611579,0.00316307,0.0,0.0,-0.04783088,0.0,0.0,0.0,0.0,-0.013239933,0.0,0.12110687,0.07570713,-0.0024239921,-0.0016051158,0.0054605165,0.008604617,-0.00088255503,0.003525918,0.029190455,0.022982512,0.02543548,0.0,0.0,0.0,0.003124934,0.0020111958,0.0,0.0068068975,0.0,19
-0.0019045942,-0.004827393,-0.18947501,0.0,-0.012282313,0.07389859,0.0,0.0,0.0,0.013180026,-0.0049923765,0.1501132,-0.22326548,0.06690195,-0.13305925,0.0,0.0,0.05904857,0.0,-0.081809506,0.0,0.0,0.0,0.04513559,-0.011189472,-0.065875895,0.0,0.0,-0.00498199,0.0,0.11581448,0.03984216,0.0,-0.041133948,0.0,0.0,0.0,-0.022914631,0.064506955,-0.0155565925,-0.018797858,0.011033714,0.012069835,-0.008848727,0.043902464,-0.048074402,-0.0065540113,-0.053382337,0.0,0.0,0.0,-0.019344201,0.0054511786,0.0,0.07456844,0.0,-0.007118295,-0.010550247,0.0,0.0,-0.0028478447,0.0,0.0,0.0,0.0,0.0024738593,0.0,-0.013560371,0.07204956,-0.006266031,-0.0023358164,0.0078123286,0.007686033,0.004640007,0.0084159225,0.0015788461,-0.05090134,0.029036026,0.0,0.0,0.0,0.001231372,0.005049638,0.0,0.016201781,0.0,20
-0.0044303504,-0.006859324,0.19214344,0.0,0.019322526,-0.37526974,0.0,0.0,0.0,-0.04241834,0.040543873,-0.0197303,0.10822299,0.021792434,-0.633355,0.0,0.0,-0.14739378,0.0,0.07879765,0.0,0.0,0.0,-0.0033917967,-0.011422487,-0.26286298,0.0,0.0,0.09657699,0.0,-0.019177148,-0.0034039207,0.0,-0.03641567,0.0,0.0,0.0,-0.058468554,0.05692034,-0.015607031,0.009788809,-0.0044406517,0.019316275,-0.0054994943,0.02962199,-0.034279335,-0.0020693052,0.06982305,0.0,0.0,0.0,-0.04656566,0.0022589893,0.0,0.056668784,0.0,-0.1012712,0.00316307,0.0,0.0,-0.054560527,0.0,0.0,0.0,0.0,-0.013239933,0.0,-0.02783079,0.055222664,-0.0024239921,-0.0031674772,0.0054605165,0.008604617,-0.0004845159,0.003525918,-0.0023570452,0.016869394,-0.02015071,0.0,0.0,0.0,0.003124934,0.0020111958,0.0,0.0068068975,0.0,21
0.034755856,0.0344077,0.0047616106,0.0,0.017702103,0.05558301,0.0,0.0,0.0,0.0106081925,-0.0026273988,-0.018268274,0.12807913,-0.04301822,1.0141039,0.0,0.0,0.20703177,0.0,-0.005414706,0.0,0.0,0.0,-0.004306604,-0.01573576,0.19945253,0.0,0.0,-0.035441123,0.0,-0.011688109,0.0012910055,0.0,0.078582466,0.0,0.0,0.0,-0.017771326,-0.37245995,0.03731345,-0.0065802694,0.008634805,0.008893617,-0.003971021,-0.27778417,-0.060023542,0.00294306,-0.0059214747,0.0,0.0,0.0,0.035737835,-0.019529235,0.0,0.052570205,0.0,0.07756593,0.007913233,0.0,0.0,0.03337462,0.0,0.0,0.0,0.0,0.0010252685,0.0,-0.00015020091,-0.26257947,0.0076855933,0.002424654,0.008223105,0.020783499,0.0038371177,-0.050505016,-0.009012203,0.0096262805,-0.008247973,0.0,0.0,0.0,0.0013344147,-0.014220346,0.0,0.0070292703,0.0,22
