,COEFFICIENTS,ENCODINGS
377,1,KPTAoIgwiiTK
378,1,K@\IOYpSgXXK
379,0,KC[JUDHOjLr[
380,0,K_qB_jS{opdh
381,0,KaSHa[kQGkqr
382,0,KsOPQK[OI\Ur
383,1,KAsR_msQIHor
384,0,KFDBcKb@SXZB
385,0,Kp_w?qoOhHi]
386,1,K?{MMHApi\Ur
387,1,KEL_gLDPqurW
388,0,KTB`OIB`mWva
389,0,KOxKOEJYWXRg
390,1,KoaAgXoox^c[
391,0,KN?Kiho_OO^]
392,1,K?{PkJGwikpo
393,1,KGqSXeVDipbh
394,1,KJAhQUA]SST}
395,1,Kw_FCDAW}ucZ
396,0,K@NIQWpX?Nib
397,0,KdOi@ecPMRBn
398,1,KBXiCD_Q]eaz
399,0,KOkTHEqgGN]Q
400,1,K@wPl`SgWUUk
401,1,KHhL?L`Q^TAZ
402,1,KOkTHDqgGV]Q
403,0,KDKTLSU?W^KL
404,0,KG[IibLHPKto
405,1,Kq_FDCDT[qhN
406,1,KKok`FkHOtXZ
407,1,KF`AodBzTKQ]
408,1,K@tK_FpRMcgZ
409,0,KooD`QbQ[XYb
410,1,KR_QiaBqvI`]
411,1,KohB@_Iw{qlJ
412,1,KbCQPdeYKHi}
413,1,K_sBado{LRFr
414,1,KOwTGUW~EOQn
415,1,KDoiQdOteGYv
416,1,KCiJKeIgx^HC
417,1,KooH`Qgskpjj
418,0,KDXi@aCpn@hN
419,1,K_iA\ciHO^KR
420,1,KBKRHJ`qlVKL
421,1,KgQD`RGurheh
422,1,KBcUHTi`Gs`}
423,0,KIpBOsoPWh{R
424,0,KqGp@ce?pHzL
425,1,KROb_Y`Q[XYb
426,1,KkHH@ce?pHzL
427,1,K?zgIPocPT`k
428,1,KpGOu@IOZ^ML
429,0,K[DgaG@`LeVL
430,1,K@MHmQUGWNia
431,1,Kw`BACoOiZyr
432,1,KpHOOQJOz^IJ
433,0,Kr@SD?_ohRNr
434,1,K[_EqHEcH|Q]
435,1,KL`AodEdH{Q]
436,1,KsCcGqaPUkU}
437,1,Kq_q?[oOWjyr
438,1,KBgr@b``Gq[L
439,1,KYDp@G@d`LVL
440,1,KwPHACi?iqvR
441,0,KWoF`IoQgX{R
442,1,KwPGaCi?jQvR
443,1,KXCM`gAxhcfJ
444,1,KCwTGZW{co]L
445,0,Kw_I`gET[qdN
446,0,K_sCpMU[gLXS
447,1,KDIJRHp_GV]K
448,1,KCkLGfE}f@GL
449,1,K`WHOtSp}T@r
450,0,Kooc_MKR[xXT
451,1,K@kFIbVGpG{K
452,1,KsGh@ce?pHzL
453,1,K?zPKPggPt`K
454,1,KEc[IXXaKPY}
455,1,KPgN?FJXZTAJ
456,1,KBELaUeQ[q[l
457,1,KBoQiMWreI`V
458,0,KBoKYLd_|Kk`
459,1,KBKLIUeQ[ZKl
460,1,KoI_sHAenTh]
461,1,KX_Fa`c_XyUl
462,1,K@eFeEOx`LhK
463,1,K@kFMEOx`K{K
464,1,K@f_YEaPf`hl
465,1,K@f_YDa`f`Y`
466,1,K?^w@PeCcPh`
467,1,KEo[_ZHpuHXT
468,1,KAqLQTh_~DCX
469,1,KFOagj@{ralL
470,1,K@tgGbPP}ckr
471,1,KCwUT`GzDGen
472,0,KWcL`oCzL@`n
473,1,K@kDhFshGNIK
474,1,KEW@{pC~AuOd
475,1,KQSUHEE~C`XV
476,1,KRA[OdeiQHh}
477,1,KooF?JPtmtAJ
478,0,Kp_FDCDW{qhZ
479,0,KPgN?FqWYVAj
480,1,KAiS[iFGXcto
481,1,KbOBQUXO}aUZ
482,1,K?udQTXGg^KP
483,1,K`oIbDIwYeaj
484,1,KbO`IUPO}eeZ
485,1,KPWiQDI`Y^DR
486,1,KA[PYd\@ITRo
487,0,KogF?LpW]UcZ
488,1,KooD`osW[Phn
489,0,KCsKhR`pcNI`
490,1,K`gAuHQP\lRt
491,0,KsPO_K[OY\Yr
492,0,KogEcSaXHXyR
493,0,K@fGgYrD`_rQ
494,1,K`pB?LosW}eM
495,1,K_[DUPSQlG{d
496,1,K`cBPbbWglkW
497,0,KbAIKe``u_|x
498,1,KIbSQEQTbavl
499,0,Kf?KcXCvPhiN
500,1,KGjDPI`Tjsr_
501,0,KIhTAHPeMQd^
502,1,KCqKvQwQKPY}
503,1,KRCPgJ|HdCfJ
504,1,K?v_[cPN`liH
505,1,KOY`p`cfMsQk
506,1,KPEbcEA]vG{K
507,1,Kd_d@Fqi_uTZ
508,1,KCidGNwYMQe]
509,1,KPaPkQ@|NSQu
510,1,K`gJDa_xL@lN
511,0,K`QEPLsgWfEh
512,0,K`ci@kcXL@bn
513,1,KHhJAH`QNT_^
514,1,KCjL@HoooVlK
515,1,KR_QghByuQ`]
516,1,KaaG[F`PmVhl
517,0,KaaKKR_o~BYu
518,0,KAZDOqoqW^Dq
519,0,K`XCOqoqW}Hm
520,0,KBLIKPETgXYs
521,1,KdBCGpUOx\Kt
522,1,KAtIGThSYJgr
523,0,KoWa`HcUH[st
524,0,KAsIkdgSYIkr
525,0,KSWIohsQIIst
526,0,K@fOXDVDPakB
527,0,KIgQshAYIIst
528,1,KPIbOFA}vHYL
529,0,KBXIORiUIu?n
530,0,K@xUAPR_W}`r
531,1,K`gFAdU_xXYL
532,1,K`pD@Hd_x\UR
533,0,KaXB?XguMs_n
534,0,K`S@ZSow_NlK
535,0,KCMHYs]?hThK
536,0,KPgfADQ_x\hL
537,0,KPIbOFA}vHYK
538,1,Kgoq@d__W~Xt
539,0,KSglADQWMEe^
540,0,KIhTAHP_W^lK
541,0,KIhTAHP_W^lL
542,0,Kp`CGQqWpaUl
543,1,KHbWbGK_pHh]
544,1,KaEGg\I}oukJ
545,1,KIQ[GrA}`cUt
546,1,K@iI[JB\uT@o
547,1,KN@@WLHW]TMr
548,0,KDhh@oEQlP`^
549,1,KOf@gWowkVia
550,0,K_q@hRwggVia
551,1,KHTOiPAyerbj
552,0,KHhHb@DWXVbr
553,0,KSWkQEOvEKhn
554,0,KITCgTA}tRFG
555,0,KA[Qih[`Gsto
556,0,KqGWSgaOWvLL
557,1,K`cAphrGWM[d
558,1,KoWL?LcyNDaN
559,0,KeAGkiA~AeeN
560,1,KGfHaKGtrivK
561,0,KIbSQEQUfAd^
562,1,KGfHaKGtjqv?
563,1,KabGGbh`u`lx
564,0,K`pE@cpWWqlZ
565,1,KAiTPJ`sQNKQ
566,1,Kh`E?TIgxXh]
567,0,KIbSOeEPW~KL
568,0,KgdCIPWbKpY}
569,1,KQpE_SqPWhyR
570,1,K@fG[IEkh`[`
571,1,KKpGXDiecplZ
572,0,KCxcT@?~DKen
573,0,K[CL`ocO^@hn
574,0,K@UGzSqY?FkL
575,0,K@MZDB`XAFib
576,1,K@x_\A_Xiuug
577,1,KEp_oFwm@cxj
578,1,KAiTSLBmUIU]
579,1,KCwahbC|ciiR
580,0,KWhF@_DW{qhZ
581,1,KCiLSFA}f@hK
582,1,KCqKsiA~E_dN
583,1,KCkLKFA}f@YK
584,1,KGrCoFuLU`dZ
585,1,KBL_kHqNCcjN
586,0,KPEbcBBMvG{K
587,1,KSaKsHA~EadV
588,1,K@swKF@]dME[
589,1,KghI@gDT[qhN
590,1,KEEDg]|KIPUx
591,1,KN?CxJlJ@PlJ
592,1,KSROoBKxfeUL
593,1,K?uctD?~`liG
594,1,KpOMCHHXZTEN
595,1,KAUSkUog_N]W
596,0,K?{LIpp_WmYc
597,1,KSQKpDE~CciN
598,1,K@sHmDC}deAR
599,1,KANAosiV@\Y]
600,1,KHpE_TIgxXh]
601,0,K`gFATY_xXhL
602,1,KANAgsmDPXhK
603,1,KANAgsmDP[gM
604,1,KDEQhiV?xq|K
605,1,KRBIOBJRu`Ux
606,1,KAiJQdi_W^KR
607,1,KAiJQdi_W^KQ
608,1,KPpI`_IwwqlJ
609,1,KL_QkiCcHyU]
610,1,KooDPQJYgW{b
611,0,K@f_XHabd`U`
612,0,K{?SKcQGPP^r
613,0,KAiKqXifE_`^
614,1,KAsLIUhO~@UW
615,1,KBcPotUPjT`]
616,1,KPgLOTSp}R@r
617,0,KoWe?MKR[xXT
618,1,KFCM_\JgYHdx
619,1,KaoM?fFXXTcJ
620,1,KL_QihK_Hye]
621,1,K`h@_hKxp[Ul
622,1,K`XE?Y[PyXQr
623,0,KPWJQILOy^@R
624,0,Kl@KDCa@Go~l
625,1,K@[MPJbQiL`o
626,1,K@wJQdi_YZDR
627,1,K@[NAFQqiNCP
628,1,KeP_`D``PLz]
629,1,KeP_`D``PLzQ
630,1,K?^w@QXF?JIB
631,1,KpO`_YHYYgyb
632,1,KwOWPcaOWvLL
633,1,KBSM`Xh_z@dZ
634,1,K@kNDBQTjDAN
635,1,K@kFIbVGX_{K
636,1,K@sIqdQwgNEW
637,1,KIhDGbDhjeiN
638,1,KagHcpGp|Sdr
639,1,KbODHsd_zPUZ
640,0,K_wJAdQs]Scj
641,0,K`oE`iowkPLZ
642,1,KbGPcREdSg|r
643,0,KpOF@`d_xX]R
644,1,KA[babMGWkto
645,1,KAMaqhLHHTYQ
646,1,K`gFDB_oxZ]]
647,0,KsBOSAR?\fLL
648,0,K@eI\KbD`_rK
649,0,KoT@_EkYI\Wr
650,1,K_wDdB_q[Z]K
651,1,KAeKY[j@_Z~K
652,1,KHbWbGK`phz]
653,1,KAiTSFA}UIU]
654,1,KAjSGi`o^I]U
655,1,KWoDsP_gW~XU
656,1,KGjDP`cgWZ]q
657,0,Kgg_qhOYII{t
658,1,KC[EuHSPMG{d
659,0,Kw`__K_YIZyr
660,1,KQXQ_SYQWiyR
661,0,KHpSGqBWW{Yu
662,1,KgaIGm_o~JYU
663,0,KGjDPacWWZ]q
664,0,KIhTABOpGvKL
665,1,K?^wEOWBC`YR
666,1,KHoqGmCWW}am
667,0,K`gChYao~KQ]
668,1,KGxSOiDWW}XU
669,0,KIXBOMoUGkyb
670,1,KHpE_TIgx[`]
671,1,Kp`D?ILWx[U]
672,1,KR_EhIao|KU]
673,1,KwDHCG?|`dVL
674,0,K@ehQTIh`_tK
675,1,KoXAOEqUHkyb
676,1,Kh`E?TIgxYU]
677,1,KF__{J?unQU]
678,0,KaoMCJ_o|LU]
679,0,Kp`A_coox]Y]
680,1,K`gF@X`wWZhU
681,1,Kp_E_wooxXY]
682,1,KBpIKB_o}JYu
683,0,K`pD@Hoow\]U
684,1,KcS@tPcPMH{d
685,1,K@wHiqooW]Uk
686,1,K@eIiir@`_rQ
687,1,KoEGWFFdm]Ye
688,1,KBaLUBGo~?\u
689,0,Kt?DOpooW}Lu
690,1,KAYFGuoqW^Ak
691,1,K_wGtPcRGZwd
692,1,K@tcGbgPiyMb
693,0,KhOBePCYGyst
694,0,KDWBtPcPIXwd
695,0,KBdP_kopHRFB
696,0,KBpQIaFOlO`U
697,0,KFOEtHaPP`fB
698,0,KoSQO[sQIjor
699,0,KodGSGbD_zZB
700,0,KchA_YYQXZQb
701,0,K`WEGyoqW}@u
702,1,K@kJGj`wgmkL
703,1,K`oCsT`O|YlL
704,1,Kp_Aodoox]Y]
705,1,KKWqGmAOuWrk
706,1,KOtCoIhWiiRK
707,1,Ku@gE?GSPKf}
708,0,KPgagX_wXZd[
709,1,KsP`?EQ`k[vM
710,1,KsP`E?@Oq}r]
711,1,K`W@oxcwWzZU
712,1,K_s@sL`SmXzK
713,0,Kop__KcYIZqr
714,0,KchA_[YQXZQR
715,0,KFBPcKE`dOvB
716,0,KL`g`P_cOih]
717,1,KAtOgdb_q\Xp
718,0,K_w@qhsQIisT
719,1,KGjDPI`X`avL
720,1,KGjDPI`X`av@
721,1,KPIG{HaPYvMR
722,0,KAt_YDBci\[p
723,1,KCwHspcPH[sd
724,1,K`oEOlcwWzIM
725,1,KArCWJtAohy]
726,0,KOZJ?PgozSpu
727,0,Kop@OEaw[lTK
728,1,KKXOgTB`MYrS
729,1,Kp`@OEhWg{X[
730,1,KwGpAEAPUXzM
731,1,KKXOgUB`MYrK
732,0,Kj@WBGgOGSf}
733,1,KGfHaKGphqv]
734,1,KGfHaKGphqvK
735,0,KGfHaKGphqv?
736,1,K`EGWtRRp[uq
737,1,KccCsTBQ\Zdh
738,1,K_wIUHESiXwd
739,1,K@kiGjCxgjeh
740,1,K?|QKPHXHX{S
741,1,KQTE_Eao|KTK
742,1,K@kHqTIwhKt[
743,1,KhAo_Z?wpt\p
744,1,KIJPKPCRQrq]
745,0,KgagQeAXPRVM
746,0,KBoTTQDPkO`M
747,0,KHRQ_RAsjpUp
748,0,KeCKcXa`P`|B
749,0,K{?Q_qoOLIe]
750,1,KqCh?eabH`|B
751,0,KScJ_YsQGjor
752,0,KbChATb@`PzB
753,1,KSgJO[YQWZQb
754,0,KHRQ_RAwptTp
755,1,K`d@OhLWx[U]
756,1,KkAaG\GgX\d{
757,0,Ku@SC@SSQPY}
758,0,K_\OQHRQKsrk
759,1,KOxDOEdWkWxK
760,1,KEXoSaAPPkvM
761,1,K_\OQHRQSkrk
762,1,KQQeGT_pXtd[
763,1,KBLBOMpPkKRK
764,0,KkOcREAPPkvM
765,0,KgIAiXOtP\d[
766,1,Ku@SC@SSQPh}
767,1,K[P_gEAXTSvM
768,0,Km?WeHA_Gtz]
769,1,KeD_HDaPOtz]
770,1,KeD_HPgSQPh}
771,1,KBaKpY`p]@X]
772,1,KXGFOpHgx[H]
773,1,KSaFOpJWW}Au
774,1,Ks_Be@QQH\st
775,1,KCV`_LBa]lb]
776,0,K[GFHEa`_y|@
777,0,K[_sb@G_JHi]
778,1,KWSPgMWalGvK
779,1,K[GFPDaP_y}L
780,1,KEa`WmBQYlcp
781,0,K{?p?UA`dZVB
782,0,KPgJO[api\OR
783,1,K_sBbPJaYhor
784,1,K@kFLB_ox\Y]
785,1,KPaBkB_wX\d{
786,1,KFB_YBCo\`lk
787,0,KGjDOLBi[Wrq
788,0,Ky@o@@_aKPz}
789,1,KGjDOMBY[Wrk
790,1,Ky@o@A_QKPz}
791,1,KWXPOIBW[[vM
792,1,KwH`?DAi[Xz]
793,1,KWJ`OH@i[Xz]
794,1,KYBoQ@OaSHz}
795,1,KoW@gMoq[Xz]
796,1,KoW@gMoq[XzK
797,0,K[HpE??OUXz]
798,1,KOVAWBJYirb]
799,1,KqD@GIbPs[vM
800,1,KDQiMB?oYrdk
801,0,KN?KmI_OSGn]
802,1,K{?OkHA_q}r]
803,1,KGjDGiDgx[r]
804,0,KkDGHDaPOtz]
805,1,KkDGHPgSQPY}
806,0,KkDGHPgSQPh}
807,1,KqBGOIbPsKv]
808,0,KoJ?oIqXSKv]
809,1,KiDOQPWQSPX}
810,1,K_Y@tB_q[Xz]
811,1,KWJ`S@?i[Xz]
812,1,K?^_XB_q[Xz]
813,1,KA[sHX_srdT\
814,1,KBKImBaTUeHN
815,1,KdOJAdQsJTEN
816,0,KClCXBrG_M}g
817,0,KdOFDBQSjTEN
818,1,K@wiTDOTYeaj
819,1,K@ecp[_xHdkH
820,0,KAwiQhPSYeaj
821,0,KQa[OXh[IPi}
822,1,Kog_sP?|KZll
823,1,KwDGaG_pLfFL
824,1,KccIcYIWWjYb
