Motif_triangles,Motif_wedges,Motif_4_cycles,Motif_4_cliques,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_std,Motif_square_clustering_proxy,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_frac_zero,Motif_triangle_edge_frac_ge2,Motif_induced_K1_3,Motif_induced_P4,Motif_induced_C4,Motif_induced_TailedTriangle,Motif_induced_Diamond,Motif_induced_K4,Motif_induced_connected_per_4set,Motif_triangles_per_Cn3,Motif_4_cycles_per_Cn4,Motif_4_cliques_per_Cn4,Motif_wedges_per_max,Motif_induced_K1_3_per_Cn4,Motif_induced_P4_per_Cn4,Motif_induced_C4_per_Cn4,Motif_induced_TailedTriangle_per_Cn4,Motif_induced_Diamond_per_Cn4,Motif_induced_K4_per_Cn4,Motif_5_cycles,Motif_5_cliques,Motif_induced_g_1_4,Motif_induced_g_2_4,Motif_induced_g_3_4,Motif_induced_g_4_4,Motif_induced_g_5_4,Motif_induced_g_6_4,Motif_induced5_g_0_5,Motif_induced5_g_1_5,Motif_induced5_g_2_5,Motif_induced5_g_3_5,Motif_induced5_g_4_5,Motif_induced5_g_5_5,Motif_induced5_g_6_5,Motif_induced5_g_7_5,Motif_induced5_g_8_5,Motif_induced5_g_9_5,Motif_induced5_g_10_5,Motif_induced5_g_11_5,Motif_induced5_g_12_5,Motif_induced5_g_13_5,Motif_induced5_g_14_5,Motif_induced5_g_15_5,Motif_induced5_g_16_5,Motif_induced5_g_17_5,Motif_induced5_g_18_5,Motif_induced5_g_20_5,Motif_induced_connected_per_5set,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4_per_Cn4,Motif_5_cycles_per_Cn5,Motif_5_cliques_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5_per_Cn5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_20_5_per_Cn5,count
15,59,25,0,1.5517241379310345,0.5623967734586236,2.0,2.0,2.0,0.0344827586206896,0.5862068965517241,17.0,100.0,8.0,45.0,17.0,0.0,0.2615384615384615,0.0524475524475524,0.0349650349650349,0.0,0.0687645687645687,0.0237762237762237,0.1398601398601398,0.0111888111888111,0.0629370629370629,0.0237762237762237,0.0,55,0,100.0,17.0,8.0,45.0,17.0,0.0,0.0,4.0,9.0,2.0,6.0,6.0,4.0,3.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0341880341880341,0.1398601398601398,0.0237762237762237,0.0111888111888111,0.0629370629370629,0.0237762237762237,0.0,0.0427350427350427,0.0,0.0427350427350427,0.0,0.0031080031080031,0.0069930069930069,0.0015540015540015,0.0046620046620046,0.0046620046620046,0.0031080031080031,0.0023310023310023,0.0015540015540015,0.0046620046620046,0.0,0.0007770007770007,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0,0.0,2
16,38,29,0,1.7777777777777777,0.4969039949999533,2.0,2.0,2.0,0.037037037037037,0.8148148148148148,3.0,31.0,7.0,17.0,22.0,0.0,0.1118881118881118,0.0559440559440559,0.0405594405594405,0.0,0.0442890442890442,0.0041958041958041,0.0433566433566433,0.0097902097902097,0.0237762237762237,0.0307692307692307,0.0,51,0,31.0,3.0,7.0,17.0,22.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0093240093240093,0.0433566433566433,0.0041958041958041,0.0097902097902097,0.0237762237762237,0.0307692307692307,0.0,0.0396270396270396,0.0,0.0396270396270396,0.0,0.0007770007770007,0.0023310023310023,0.0,0.0,0.0023310023310023,0.0,0.0,0.0007770007770007,0.0015540015540015,0.0,0.0007770007770007,0.0,0.0,0.0,0.0,0.0,0.0,0.0007770007770007,0.0,2
16,54,27,0,1.6551724137931034,0.4753120259341455,2.0,2.0,2.0,0.0,0.6551724137931034,7.0,79.0,8.0,43.0,19.0,0.0,0.2181818181818181,0.0559440559440559,0.0377622377622377,0.0,0.0629370629370629,0.0097902097902097,0.1104895104895104,0.0111888111888111,0.0601398601398601,0.0265734265734265,0.0,56,0,79.0,7.0,8.0,43.0,19.0,0.0,0.0,1.0,18.0,0.0,6.0,7.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0341880341880341,0.1104895104895104,0.0097902097902097,0.0111888111888111,0.0601398601398601,0.0265734265734265,0.0,0.0435120435120435,0.0,0.0435120435120435,0.0,0.0007770007770007,0.0139860139860139,0.0,0.0046620046620046,0.0054390054390054,0.0015540015540015,0.0007770007770007,0.0007770007770007,0.0,0.0015540015540015,0.0007770007770007,0.0,0.0,0.0,0.0007770007770007,0.0015540015540015,0.0,0.0015540015540015,0.0,2
16,55,24,0,1.6551724137931034,0.4753120259341455,2.0,2.0,2.0,0.0,0.6551724137931034,9.0,92.0,5.0,45.0,19.0,0.0,0.2377622377622377,0.0559440559440559,0.0335664335664335,0.0,0.0641025641025641,0.0125874125874125,0.1286713286713286,0.0069930069930069,0.0629370629370629,0.0265734265734265,0.0,50,0,92.0,9.0,5.0,45.0,19.0,0.0,0.0,4.0,12.0,1.0,2.0,7.0,0.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.031080031080031,0.1286713286713286,0.0125874125874125,0.0069930069930069,0.0629370629370629,0.0265734265734265,0.0,0.0388500388500388,0.0,0.0388500388500388,0.0,0.0031080031080031,0.0093240093240093,0.0007770007770007,0.0015540015540015,0.0054390054390054,0.0,0.0007770007770007,0.0031080031080031,0.0046620046620046,0.0,0.0,0.0,0.0,0.0,0.0015540015540015,0.0007770007770007,0.0,0.0,0.0,2
15,49,23,0,1.6071428571428572,0.4883855118277622,2.0,2.0,2.0,0.0,0.6071428571428571,5.0,69.0,6.0,37.0,17.0,0.0,0.1874125874125874,0.0524475524475524,0.0321678321678321,0.0,0.0571095571095571,0.0069930069930069,0.0965034965034965,0.0083916083916083,0.0517482517482517,0.0237762237762237,0.0,42,0,69.0,5.0,6.0,37.0,17.0,0.0,0.0,1.0,11.0,0.0,0.0,8.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0225330225330225,0.0965034965034965,0.0069930069930069,0.0083916083916083,0.0517482517482517,0.0237762237762237,0.0,0.0326340326340326,0.0,0.0326340326340326,0.0,0.0007770007770007,0.0085470085470085,0.0,0.0,0.0062160062160062,0.0007770007770007,0.0,0.0007770007770007,0.0015540015540015,0.0007770007770007,0.0007770007770007,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0015540015540015,0.0,2
14,52,22,0,1.5,0.5669467095138409,2.0,2.0,2.0,0.0357142857142857,0.5357142857142857,9.0,81.0,7.0,37.0,15.0,0.0,0.2083916083916084,0.0489510489510489,0.0307692307692307,0.0,0.0606060606060606,0.0125874125874125,0.1132867132867132,0.0097902097902097,0.0517482517482517,0.0209790209790209,0.0,43,0,81.0,9.0,7.0,37.0,15.0,0.0,0.0,3.0,11.0,0.0,3.0,5.0,1.0,0.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0279720279720279,0.1132867132867132,0.0125874125874125,0.0097902097902097,0.0517482517482517,0.0209790209790209,0.0,0.0334110334110334,0.0,0.0334110334110334,0.0,0.0023310023310023,0.0085470085470085,0.0,0.0023310023310023,0.0038850038850038,0.0007770007770007,0.0,0.0007770007770007,0.0023310023310023,0.0,0.0038850038850038,0.0,0.0,0.0,0.0007770007770007,0.0007770007770007,0.0,0.0015540015540015,0.0,2
16,55,27,0,1.6551724137931034,0.4753120259341455,2.0,2.0,2.0,0.0,0.6551724137931034,10.0,82.0,8.0,44.0,19.0,0.0,0.2279720279720279,0.0559440559440559,0.0377622377622377,0.0,0.0641025641025641,0.0139860139860139,0.1146853146853146,0.0111888111888111,0.0615384615384615,0.0265734265734265,0.0,54,0,82.0,10.0,8.0,44.0,19.0,0.0,0.0,2.0,13.0,0.0,3.0,5.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0271950271950271,0.1146853146853146,0.0139860139860139,0.0111888111888111,0.0615384615384615,0.0265734265734265,0.0,0.0419580419580419,0.0,0.0419580419580419,0.0,0.0015540015540015,0.0101010101010101,0.0,0.0023310023310023,0.0038850038850038,0.0031080031080031,0.0007770007770007,0.0,0.0015540015540015,0.0007770007770007,0.0,0.0,0.0,0.0,0.0007770007770007,0.0007770007770007,0.0,0.0015540015540015,0.0,2
16,55,25,0,1.6551724137931034,0.4753120259341455,2.0,2.0,2.0,0.0,0.6551724137931034,10.0,90.0,6.0,44.0,19.0,0.0,0.2363636363636363,0.0559440559440559,0.0349650349650349,0.0,0.0641025641025641,0.0139860139860139,0.1258741258741259,0.0083916083916083,0.0615384615384615,0.0265734265734265,0.0,49,0,90.0,10.0,6.0,44.0,19.0,0.0,1.0,3.0,9.0,0.0,1.0,7.0,0.0,1.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0264180264180264,0.1258741258741259,0.0139860139860139,0.0083916083916083,0.0615384615384615,0.0265734265734265,0.0,0.038073038073038,0.0,0.038073038073038,0.0007770007770007,0.0023310023310023,0.0069930069930069,0.0,0.0007770007770007,0.0054390054390054,0.0,0.0007770007770007,0.0023310023310023,0.0046620046620046,0.0,0.0007770007770007,0.0,0.0,0.0,0.0,0.0007770007770007,0.0,0.0007770007770007,0.0,2
16,55,27,0,1.6551724137931034,0.4753120259341455,2.0,2.0,2.0,0.0,0.6551724137931034,10.0,82.0,8.0,44.0,19.0,0.0,0.2279720279720279,0.0559440559440559,0.0377622377622377,0.0,0.0641025641025641,0.0139860139860139,0.1146853146853146,0.0111888111888111,0.0615384615384615,0.0265734265734265,0.0,55,0,82.0,10.0,8.0,44.0,19.0,0.0,0.0,1.0,12.0,2.0,5.0,9.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0295260295260295,0.1146853146853146,0.0139860139860139,0.0111888111888111,0.0615384615384615,0.0265734265734265,0.0,0.0427350427350427,0.0,0.0427350427350427,0.0,0.0007770007770007,0.0093240093240093,0.0015540015540015,0.0038850038850038,0.0069930069930069,0.0007770007770007,0.0,0.0,0.0031080031080031,0.0007770007770007,0.0007770007770007,0.0,0.0,0.0,0.0007770007770007,0.0,0.0,0.0007770007770007,0.0,2
16,55,29,0,1.6551724137931034,0.4753120259341455,2.0,2.0,2.0,0.0,0.6551724137931034,10.0,74.0,10.0,44.0,19.0,0.0,0.2195804195804195,0.0559440559440559,0.0405594405594405,0.0,0.0641025641025641,0.0139860139860139,0.1034965034965035,0.0139860139860139,0.0615384615384615,0.0265734265734265,0.0,57,0,74.0,10.0,10.0,44.0,19.0,0.0,0.0,2.0,13.0,2.0,3.0,6.0,4.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0318570318570318,0.1034965034965035,0.0139860139860139,0.0139860139860139,0.0615384615384615,0.0265734265734265,0.0,0.0442890442890442,0.0,0.0442890442890442,0.0,0.0015540015540015,0.0101010101010101,0.0015540015540015,0.0023310023310023,0.0046620046620046,0.0031080031080031,0.0,0.0015540015540015,0.0015540015540015,0.0,0.0015540015540015,0.0,0.0,0.0,0.0015540015540015,0.0015540015540015,0.0,0.0007770007770007,0.0,2
