Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,sample_index
0.059348643,-0.43759355,0.2431401,-0.029605094,0.074676424,-0.26335117,-0.09598772,-0.07926076,0.005058185,0.026229287,18
0.063125655,0.34147114,0.25615272,0.03597253,0.070020474,0.1613729,-0.09152771,-0.026224975,0.0033218104,0.080193914,19
-0.19430497,0.30180544,-0.31346166,0.023538297,0.024119522,0.097544335,0.17568168,0.13289553,0.027989853,0.010042808,20
-0.19561069,0.037460927,-0.35548705,-0.00083659915,-0.015109807,0.08787113,-0.025479322,0.22821045,0.062433522,0.045040164,21
-0.010093284,0.06810023,-0.080813184,0.0062549915,-0.020745553,0.14905237,-0.1242503,-0.07138135,0.024752466,0.08370972,22
-0.10334839,-0.58035034,-0.2527567,-0.02238805,0.017746532,-0.2345607,0.0134242205,-0.08174815,-0.007186197,0.019862253,23
-0.08411049,-0.51881695,-0.06879422,-0.05588633,-0.0317015,-0.26148838,-0.12867415,-0.100910954,-0.022984656,-0.0008825883,24
0.09535646,-0.539282,-0.025929391,-0.017563306,0.03529943,0.13308336,-0.09786766,-0.071284965,0.002787885,0.042646166,25
-0.00398015,-0.6038375,0.2613284,-0.004131399,-0.0390902,-0.28233826,-0.014580488,-0.06418059,-0.0041830023,-0.081154965,26
0.06257911,0.07283317,-0.36060637,0.029618884,0.0036903908,0.10446993,0.17157917,0.15886691,0.062661506,0.08435176,27
-0.04533428,-0.50193465,-0.32575932,-0.017871214,0.034225337,-0.022562949,0.112823166,0.12203302,-0.01498992,0.027167264,28
-0.05423674,-0.21968603,-0.44808123,-0.007628903,-0.0035310155,0.085896164,-0.106554575,-0.064707175,0.062661506,0.016901925,29
0.03819058,-0.49398786,-0.14689896,0.025895096,-0.030546583,-0.023319393,-0.1333012,-0.08423184,-0.008669456,-0.083769724,30
-0.052039403,-0.5288922,-0.13283436,-0.016557531,-0.02865887,-0.060648475,-0.1333012,-0.0911351,-0.016424013,0.006309281,31
-0.11637695,-0.52356917,-0.13989821,-0.008039535,-0.025159452,-0.01630429,-0.08099215,0.26207,-0.011480698,0.013963179,32
0.066107534,0.39629918,-0.10684164,0.04021258,0.014870871,0.18002714,0.24213882,-0.03229992,0.05313279,0.097712606,33
0.024146732,-0.44426295,0.25579485,0.010196607,0.06887997,0.15078035,-0.080803506,-0.051397596,-0.0016436598,-0.0930028,34
0.048023343,0.44547012,-0.29144642,0.037703928,0.011575315,0.12834632,0.17454419,0.094572075,0.02700077,0.06301778,35
-0.053508084,0.49250945,-0.19345272,0.02844944,0.027153824,0.14614394,0.2474797,-0.03229992,-0.01298661,0.05626875,36
0.110637605,0.34678617,-0.14890067,-0.04393153,0.016911697,0.1640233,-0.13152915,-0.0599905,-0.0035874965,0.01644091,37
-0.051980063,0.25182545,0.22945714,-0.043481857,-0.028814226,0.16619338,-0.091903105,-0.04820987,-0.0015066171,-0.11185559,38
0.07191245,0.34083962,0.19588326,0.0498869,-0.020382082,0.13288186,0.16963513,-0.019426126,-0.0009726917,8.8841654e-05,39
0.06949726,0.3852557,-0.016488574,0.03658543,0.027532596,0.13188268,0.2246128,-0.03229992,-0.01349406,0.040585708,40
0.052988023,0.3523472,-0.41545823,-0.0019858358,0.0006623352,0.17669895,-0.11403699,-0.061573043,0.051713165,0.07892305,41
0.04358445,0.37369162,-0.12925096,0.023603931,0.025171306,0.1775204,0.24898584,-0.031752102,-0.0035874965,0.053530186,42
0.08232351,0.4625281,-0.12396136,0.036565978,0.012083355,0.12405015,0.19142981,0.092928186,0.0284204,0.03860338,43
0.08521983,0.30803645,0.2105262,0.0084493365,-0.025680114,-0.0057969084,-0.10774203,-0.03311475,-0.0009726917,0.026404291,44
0.056184545,0.29482448,0.22104293,-0.014579644,0.029912304,-0.02758133,-0.10493152,-0.03311475,0.0033218104,-0.11297316,45
0.06383659,0.07256895,-0.3602635,0.029618884,0.011982206,0.10446993,0.1638731,0.15886691,0.062661506,0.08242987,46
0.050656356,-0.3788471,-0.03143245,-0.0065363673,0.038583595,0.10645202,0.24608737,-0.051238053,-0.002195656,0.05546085,47
0.02122946,-0.4014185,-0.36184123,-0.006497189,0.0021995632,0.08311063,0.1746698,0.15235838,-0.0051960573,0.04548047,48
-0.038045615,0.4949561,-0.038124282,0.05059464,0.011575315,0.08421226,0.16600175,0.11873668,0.0284204,0.038810685,49
-0.14006706,0.4818116,0.010745902,0.023952922,0.027153824,0.097099155,0.16607037,0.11932449,-0.0111219445,0.021524692,50
0.05925458,0.4055092,-0.015118651,-0.23855488,-0.02389757,0.13903949,-0.054479435,0.2111582,-0.0026986396,0.026474103,51
-0.0063014682,0.31893188,0.2197567,0.02651976,0.03438847,0.10614332,0.035212755,-0.025729232,0.006914598,-0.095977165,52
-0.16387062,0.43419388,0.13187131,0.017347565,-0.020506615,0.10817937,0.14253755,0.05229125,-0.031565282,-0.007936571,53
-0.053812724,0.42807558,0.14373867,0.04872793,-0.011671399,0.10631647,0.123827435,0.06267074,0.034339726,0.0028625426,54
0.08259835,0.34788096,-0.33650127,0.027590584,0.0038340008,0.12167971,0.03951628,0.14962769,0.051713165,0.04267673,55
0.032150112,0.31760755,-0.37615567,0.0010185642,0.0125419,0.135299,0.06365566,0.15446916,-0.01635447,-0.047167473,56
0.02936552,0.30202186,-0.13948202,0.010524093,-0.028814226,0.20079027,-0.13462682,-0.06246267,-0.021457579,-0.12087771,57
0.07571589,0.48048714,-0.3412522,0.036080495,0.01246213,0.114570566,0.1782135,0.13289553,0.02700077,0.05368592,58
-0.058101814,0.4820069,-0.033837717,0.039459605,0.019730136,0.118416764,0.18235292,0.13737746,0.0284204,0.052677438,59
0.04387203,-0.44453195,-0.057783715,-0.0034259828,-0.02716804,0.010674858,-0.09100864,0.31077296,-0.008669456,0.02471795,60
0.079658814,0.3606567,0.18132043,0.046703022,-0.007580294,0.14849487,0.16124351,-0.025549859,0.05905212,0.006148506,61
0.070098564,0.50006586,-0.082037434,0.019941373,0.012421364,0.10202788,0.1834844,0.11873668,0.0284204,0.05183103,62
0.07775082,0.5145784,-0.04109817,0.039996624,0.018862009,0.10202788,0.17304395,0.11873668,-0.01119226,0.05343511,63
0.09633473,0.30731672,-0.13323876,-0.20226942,0.01679762,0.09299265,0.0030242738,-0.07914592,-0.01493484,-0.028658547,64
