Motif_4_cliques,Motif_4_cliques_per_Cn4,Motif_4_cycles,Motif_4_cycles_per_Cn4,Motif_induced_connected_per_4set,Motif_square_clustering_proxy,Motif_triangle_edge_frac_ge2,Motif_triangle_edge_frac_zero,Motif_triangle_edge_incidence_mean,Motif_triangle_edge_incidence_median,Motif_triangle_edge_incidence_q90,Motif_triangle_edge_incidence_std,Motif_triangles,Motif_triangles_per_Cn3,Motif_wedges,Motif_wedges_per_max,Motif_5_cliques,Motif_5_cliques_per_Cn5,Motif_5_cycles,Motif_5_cycles_per_Cn5,Motif_5_cycles_per_Kn,Motif_induced5_g_0_5,Motif_induced5_g_0_5_per_Cn5,Motif_induced5_g_10_5,Motif_induced5_g_10_5_per_Cn5,Motif_induced5_g_11_5,Motif_induced5_g_11_5_per_Cn5,Motif_induced5_g_12_5,Motif_induced5_g_12_5_per_Cn5,Motif_induced5_g_13_5,Motif_induced5_g_13_5_per_Cn5,Motif_induced5_g_14_5,Motif_induced5_g_14_5_per_Cn5,Motif_induced5_g_15_5,Motif_induced5_g_15_5_per_Cn5,Motif_induced5_g_16_5,Motif_induced5_g_16_5_per_Cn5,Motif_induced5_g_17_5,Motif_induced5_g_17_5_per_Cn5,Motif_induced5_g_18_5,Motif_induced5_g_18_5_per_Cn5,Motif_induced5_g_1_5,Motif_induced5_g_1_5_per_Cn5,Motif_induced5_g_20_5,Motif_induced5_g_20_5_per_Cn5,Motif_induced5_g_2_5,Motif_induced5_g_2_5_per_Cn5,Motif_induced5_g_3_5,Motif_induced5_g_3_5_per_Cn5,Motif_induced5_g_4_5,Motif_induced5_g_4_5_per_Cn5,Motif_induced5_g_5_5,Motif_induced5_g_5_5_per_Cn5,Motif_induced5_g_6_5,Motif_induced5_g_6_5_per_Cn5,Motif_induced5_g_7_5,Motif_induced5_g_7_5_per_Cn5,Motif_induced5_g_8_5,Motif_induced5_g_8_5_per_Cn5,Motif_induced5_g_9_5,Motif_induced5_g_9_5_per_Cn5,Motif_induced_connected_per_5set,Motif_induced_g_1_4,Motif_induced_g_1_4_per_Cn4,Motif_induced_g_2_4,Motif_induced_g_2_4_per_Cn4,Motif_induced_g_3_4,Motif_induced_g_3_4_per_Cn4,Motif_induced_g_4_4,Motif_induced_g_4_4_per_Cn4,Motif_induced_g_5_4,Motif_induced_g_5_4_per_Cn4,Motif_induced_g_6_4,Motif_induced_g_6_4_per_Cn4,count
0,0.0,35,0.0349650349650349,0.1318681318681318,2.0,0.8064516129032258,0.0,1.8387096774193548,2.0,2.0,0.4469808535661618,19,0.0521978021978022,51,0.0467032967032967,0,0.0,70,0.0349650349650349,0.0349650349650349,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0,0.0,10.0,0.0049950049950049,0.0,0.0,0.0,0.0,5.0,0.0024975024975024,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0119880119880119,59.0,0.0589410589410589,5.0,0.0049950049950049,8.0,0.0079920079920079,33.0,0.0329670329670329,27.0,0.0269730269730269,0.0,0.0,6
0,0.0,29,0.0289710289710289,0.1328671328671328,2.0,0.6666666666666666,0.0666666666666666,1.6,2.0,2.0,0.6110100926607788,16,0.0439560439560439,52,0.0476190476190476,0,0.0,56,0.0279720279720279,0.0279720279720279,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0014985014985014,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0,0.0,10.0,0.0049950049950049,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0129870129870129,64.0,0.0639360639360639,8.0,0.0079920079920079,9.0,0.0089910089910089,32.0,0.0319680319680319,20.0,0.0199800199800199,0.0,0.0,6
0,0.0,29,0.0289710289710289,0.1338661338661338,2.0,0.6666666666666666,0.0666666666666666,1.6,2.0,2.0,0.6110100926607787,16,0.0439560439560439,52,0.0476190476190476,0,0.0,56,0.0279720279720279,0.0279720279720279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,3.0,0.0014985014985014,0.0,0.0,6.0,0.0029970029970029,0.0,0.0,0.0,0.0,4.0,0.0019980019980019,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,3.0,0.0014985014985014,0.0099900099900099,65.0,0.0649350649350649,8.0,0.0079920079920079,9.0,0.0089910089910089,32.0,0.0319680319680319,20.0,0.0199800199800199,0.0,0.0,6
0,0.0,29,0.0289710289710289,0.1378621378621378,2.0,0.6666666666666666,0.0666666666666666,1.6,2.0,2.0,0.6110100926607787,16,0.0439560439560439,53,0.0485347985347985,0,0.0,57,0.0284715284715284,0.0284715284715284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,8.0,0.0039960039960039,1.0,0.0004995004995004,1.0,0.0004995004995004,4.0,0.0019980019980019,5.0,0.0024975024975024,0.0,0.0,1.0,0.0004995004995004,4.0,0.0019980019980019,0.0134865134865134,65.0,0.0649350649350649,10.0,0.0099900099900099,9.0,0.0089910089910089,34.0,0.0339660339660339,20.0,0.0199800199800199,0.0,0.0,4
0,0.0,33,0.0329670329670329,0.1798201798201798,2.0,0.78125,0.0,1.78125,2.0,2.0,0.4133986423538422,19,0.0521978021978022,60,0.0549450549450549,0,0.0,70,0.0349650349650349,0.0349650349650349,0.0,0.0,0.0,0.0,3.0,0.0014985014985014,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0019980019980019,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,5.0,0.0024975024975024,0.0,0.0,13.0,0.0064935064935064,3.0,0.0014985014985014,1.0,0.0004995004995004,8.0,0.0039960039960039,1.0,0.0004995004995004,0.0,0.0,2.0,0.0009990009990009,7.0,0.0034965034965034,0.0239760239760239,89.0,0.0889110889110889,7.0,0.0069930069930069,8.0,0.0079920079920079,51.0,0.0509490509490509,25.0,0.0249750249750249,0.0,0.0,4
0,0.0,40,0.0399600399600399,0.1998001998001998,2.0,0.8787878787878788,0.0,1.9090909090909087,2.0,2.0,0.3784847271756604,21,0.0576923076923076,64,0.0586080586080586,0,0.0,87,0.0434565434565434,0.0434565434565434,0.0,0.0,2.0,0.0009990009990009,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,3.0,0.0014985014985014,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,3.0,0.0014985014985014,0.0,0.0,13.0,0.0064935064935064,0.0,0.0,6.0,0.0029970029970029,6.0,0.0029970029970029,3.0,0.0014985014985014,0.0,0.0,3.0,0.0014985014985014,3.0,0.0014985014985014,0.0234765234765234,93.0,0.0929070929070929,12.0,0.0119880119880119,9.0,0.0089910089910089,55.0,0.0549450549450549,31.0,0.0309690309690309,0.0,0.0,4
0,0.0,37,0.0369630369630369,0.1688311688311688,2.0,0.8125,0.0,1.875,2.0,2.0,0.4841229182759271,20,0.0549450549450549,58,0.0531135531135531,0,0.0,72,0.0359640359640359,0.0359640359640359,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,12.0,0.0059940059940059,0.0,0.0,3.0,0.0014985014985014,11.0,0.0054945054945054,1.0,0.0004995004995004,0.0,0.0,2.0,0.0009990009990009,3.0,0.0014985014985014,0.0189810189810189,80.0,0.0799200799200799,8.0,0.0079920079920079,7.0,0.0069930069930069,44.0,0.0439560439560439,30.0,0.0299700299700299,0.0,0.0,4
0,0.0,40,0.0399600399600399,0.1798201798201798,2.0,0.84375,0.03125,1.875,2.0,2.0,0.5448623679425842,20,0.0549450549450549,60,0.0549450549450549,0,0.0,74,0.0369630369630369,0.0369630369630369,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,2.0,0.0009990009990009,3.0,0.0014985014985014,0.0,0.0,8.0,0.0039960039960039,1.0,0.0004995004995004,0.0,0.0,12.0,0.0059940059940059,4.0,0.0019980019980019,0.0,0.0,2.0,0.0009990009990009,7.0,0.0034965034965034,0.0204795204795204,81.0,0.0809190809190809,19.0,0.0189810189810189,9.0,0.0089910089910089,40.0,0.0399600399600399,31.0,0.0309690309690309,0.0,0.0,4
0,0.0,37,0.0369630369630369,0.1768231768231768,2.0,0.78125,0.03125,1.78125,2.0,2.0,0.5439654745477879,19,0.0521978021978022,60,0.0549450549450549,0,0.0,77,0.0384615384615384,0.0384615384615384,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0019980019980019,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,5.0,0.0024975024975024,0.0,0.0,12.0,0.0059940059940059,1.0,0.0004995004995004,0.0,0.0,5.0,0.0024975024975024,2.0,0.0009990009990009,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0169830169830169,86.0,0.0859140859140859,13.0,0.0129870129870129,10.0,0.0099900099900099,41.0,0.0409590409590409,27.0,0.0269730269730269,0.0,0.0,4
0,0.0,37,0.0369630369630369,0.1338661338661338,2.0,0.8064516129032258,0.032258064516129,1.8387096774193548,2.0,2.0,0.5734318978913284,19,0.0521978021978022,52,0.0476190476190476,0,0.0,66,0.0329670329670329,0.0329670329670329,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,2.0,0.0009990009990009,0.0,0.0,11.0,0.0054945054945054,0.0,0.0,2.0,0.0009990009990009,4.0,0.0019980019980019,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,4.0,0.0019980019980019,0.0144855144855144,59.0,0.0589410589410589,9.0,0.0089910089910089,8.0,0.0079920079920079,29.0,0.0289710289710289,29.0,0.0289710289710289,0.0,0.0,4
0,0.0,33,0.0329670329670329,0.1588411588411588,2.0,0.6774193548387096,0.032258064516129,1.6451612903225807,2.0,2.0,0.5417050201208602,17,0.0467032967032967,58,0.0531135531135531,0,0.0,64,0.0319680319680319,0.0319680319680319,0.0,0.0,1.0,0.0004995004995004,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0014985014985014,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,4.0,0.0019980019980019,0.0,0.0,8.0,0.0039960039960039,0.0,0.0,2.0,0.0009990009990009,2.0,0.0009990009990009,2.0,0.0009990009990009,1.0,0.0004995004995004,2.0,0.0009990009990009,3.0,0.0014985014985014,0.0149850149850149,72.0,0.0719280719280719,12.0,0.0119880119880119,12.0,0.0119880119880119,42.0,0.0419580419580419,21.0,0.0209790209790209,0.0,0.0,4
0,0.0,27,0.0269730269730269,0.1468531468531468,2.0,0.5666666666666667,0.0666666666666666,1.5,2.0,2.0,0.6191391873668903,15,0.0412087912087912,55,0.0503663003663003,0,0.0,50,0.0249750249750249,0.0249750249750249,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0,0.0,5.0,0.0024975024975024,0.0,0.0,3.0,0.0014985014985014,5.0,0.0024975024975024,2.0,0.0009990009990009,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0129870129870129,74.0,0.0739260739260739,10.0,0.0099900099900099,10.0,0.0099900099900099,36.0,0.0359640359640359,17.0,0.0169830169830169,0.0,0.0,4
0,0.0,33,0.0329670329670329,0.1538461538461538,2.0,0.7419354838709677,0.032258064516129,1.7419354838709675,2.0,2.0,0.5661267346704594,18,0.0494505494505494,55,0.0503663003663003,0,0.0,64,0.0319680319680319,0.0319680319680319,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0009990009990009,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,4.0,0.0019980019980019,0.0,0.0,7.0,0.0034965034965034,1.0,0.0004995004995004,3.0,0.0014985014985014,4.0,0.0019980019980019,2.0,0.0009990009990009,1.0,0.0004995004995004,0.0,0.0,1.0,0.0004995004995004,0.0139860139860139,75.0,0.0749250749250749,11.0,0.0109890109890109,8.0,0.0079920079920079,35.0,0.0349650349650349,25.0,0.0249750249750249,0.0,0.0,4
0,0.0,33,0.0329670329670329,0.1538461538461538,2.0,0.7419354838709677,0.032258064516129,1.7419354838709675,2.0,2.0,0.5661267346704594,18,0.0494505494505494,55,0.0503663003663003,0,0.0,63,0.0314685314685314,0.0314685314685314,0.0,0.0,1.0,0.0004995004995004,2.0,0.0009990009990009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004995004995004,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0024975024975024,0.0,0.0,6.0,0.0029970029970029,0.0,0.0,1.0,0.0004995004995004,8.0,0.0039960039960039,4.0,0.0019980019980019,1.0,0.0004995004995004,0.0,0.0,4.0,0.0019980019980019,0.0164835164835164,75.0,0.0749250749250749,11.0,0.0109890109890109,8.0,0.0079920079920079,35.0,0.0349650349650349,25.0,0.0249750249750249,0.0,0.0,4
