Spectral_algebraic_connectivity,Spectral_algebraic_connectivity_over_avgdeg,Spectral_lap_eig_0,Spectral_lap_eig_1,Spectral_lap_eig_2,Spectral_lap_eig_3,Spectral_lap_eig_4,Spectral_lap_eig_5,Spectral_lap_eig_6,Spectral_lap_eig_7,Spectral_lap_eig_8,Spectral_lap_eig_9,Spectral_laplacian_heat_trace_t0.1,Spectral_laplacian_heat_trace_t0.1_per_node,Spectral_laplacian_heat_trace_t1.0,Spectral_laplacian_heat_trace_t1.0_per_node,Spectral_laplacian_heat_trace_t5.0,Spectral_laplacian_heat_trace_t5.0_per_node,Spectral_laplacian_mean,Spectral_laplacian_skew,Spectral_laplacian_std,Spectral_spectral_gap,Spectral_spectral_gap_rel,Spectral_adjacency_energy,Spectral_adjacency_estrada_index,Spectral_adjacency_moment_2,Spectral_adjacency_moment_3,Spectral_adjacency_moment_4,Spectral_kirchhoff_index,Spectral_laplacian_heat_trace_t0.5,Spectral_laplacian_heat_trace_t2.0,sample_index
0.3713997,0.27897486,0.16398473,0.069755614,0.53933096,0.106602006,-0.1689791,0.33096838,0.38744542,-0.40929618,0.65105015,0.26417318,-0.017737938,-0.0067907013,0.14181556,-0.0043991753,0.022615002,0.0,0.0,-0.37601388,-0.08564663,0.0,0.11049904,-0.06469816,0.030976184,0.0,0.0,-0.19679888,-0.06231925,-0.019128853,0.028439274,10
0.14302985,0.058655202,0.14292236,0.0066416375,1.5812036,-0.045612264,-0.11995839,0.033090144,0.36697745,-0.3865609,0.51490515,-0.025953885,-0.01756335,-0.0029533496,0.124542475,0.0022606254,-0.0027441657,0.0,0.0,-0.06246099,-0.06656731,0.0,0.05690571,1.0474602,0.023499627,0.0,0.0,-0.13869177,-0.04610031,-0.015475807,-0.48550725,11
0.5562806,0.5686773,0.23721313,0.06986661,0.61557037,-0.0068933736,-0.13598993,0.137737,-0.1782177,0.11860029,0.5915597,0.44312158,-0.0032974593,-0.0067907013,0.19505288,-0.0017184047,0.054359365,0.0,0.0,0.21533026,0.074430786,0.0,0.11383276,0.104513384,0.017506864,0.0,0.0,0.4908864,-0.02357125,-0.053570088,0.29482704,12
0.58892924,0.34540227,0.04352315,0.09274527,0.33124945,0.13708735,-0.13256583,0.21793166,0.04296401,0.14601472,-0.3047223,-0.12844159,0.006299399,-0.011623292,0.26686415,0.058348686,-0.053485777,0.0,0.0,0.46400183,0.1159612,0.0,0.073780395,-0.18610151,0.01177127,0.0,0.0,0.5054802,0.00032693555,0.0460369,1.6495423,13
0.1773957,0.25888497,0.086767465,0.0136958305,0.1831712,-0.13495903,-0.3144371,0.26488885,0.06380893,-0.023387747,-0.6241423,-0.21546264,-0.090300396,-0.038704958,-0.48506954,-0.065147884,-0.05396161,0.0,0.0,0.27465034,0.041222617,0.0,0.06531444,-0.5585355,-0.05505964,0.0,0.0,-0.47876474,-0.08026429,-0.034126665,-1.0480672,14
-0.21266286,0.09004495,-0.3068786,-0.15735832,0.18861815,-0.10887963,-0.35089123,-0.4562102,0.017106187,-0.672822,-0.16385427,-0.22036034,-0.02836405,-0.0067907013,0.062935494,0.005282796,0.0058577675,0.0,0.0,-0.13898551,-0.10171013,0.0,0.09462591,0.7365147,-0.01747891,0.0,0.0,-0.36457613,-0.066092156,-0.01574196,-0.73731565,15
0.35799977,0.314937,0.27318114,0.0682061,1.4184903,-0.059191573,-0.3062886,-0.076890945,0.21528152,0.15227734,-0.106873885,-0.08686651,-0.029922303,-0.0067907013,0.087890625,-0.0041382546,0.020840902,0.0,0.0,0.50607616,0.10285575,0.0,0.114010416,-0.01558213,0.0020224424,0.0,0.0,-0.30678797,-0.053773265,-0.020254716,0.11373891,16
0.421193,0.2739386,-0.034769982,0.07998542,-0.29524484,-0.013609612,-0.18365513,0.1358969,-0.12266972,0.26393756,0.012142644,-0.12947583,-0.0142211085,-0.008086448,0.29271173,0.057701584,-0.037324592,0.0,0.0,0.5465587,0.16745172,0.0,0.0868652,0.91315836,-0.015254865,0.0,0.0,0.478809,0.49281695,0.043645144,1.5342267,17
-0.48590016,0.14842515,0.3542175,-0.1225515,0.52924865,0.16269907,0.037152074,0.022964766,0.3922907,-0.25971118,0.40639666,0.11838325,-0.017489275,-0.011294426,0.070359,-0.0018574388,0.029579952,0.0,0.0,0.58241,0.09828567,0.0,0.13134801,-0.13407178,0.019926764,0.0,0.0,-0.18323839,-0.045870684,-0.02961391,-0.4595277,18
0.5755189,0.41813457,0.09886112,0.08823943,0.7928508,0.17298925,-0.15692595,0.26614606,0.33431908,0.12861152,0.4897495,-0.18832481,-0.020800391,-0.013432631,0.16384186,-0.005722109,0.04610146,0.0,0.0,0.6581121,0.15680513,0.0,0.11977793,-0.2675891,-0.014791306,0.0,0.0,0.40388775,-0.034900576,-0.01574196,0.2591474,19
