"COEFFICIENTS","COLOR_COVERS4","COLOR_COVERS5","COLOR_COVERS6","CYCLE_COUNT3","CYCLE_COUNT4","CYCLE_COUNT5","CYCLE_COUNT6","CYCLE_COUNT7","CYCLE_COUNT8","CYCLE_COUNT9"
0,936,82680,2079720,15,34,81,164,338,588,730
1,288,46320,1520640,18,34,66,147,304,532,668
0,2976,206340,4542240,10,13,18,29,74,153,206
1,0,3240,246960,35,102,276,671,1344,2067,2216
1,336,47160,1548000,17,29,67,180,402,638,722
1,192,29880,1113840,21,47,106,231,454,749,926
-1,1104,110520,2859120,12,19,38,98,210,338,386
-1,168,28080,1001160,21,52,128,309,641,1050,1222
1,0,6600,375840,30,79,237,673,1538,2699,3432
1,0,2880,231840,34,101,311,849,1893,3289,4172
-1,0,5520,379440,29,75,203,510,1080,1820,2297
-1,96,19920,768240,23,58,166,425,904,1531,1944
1,0,15000,750240,23,53,132,301,609,1020,1301
0,240,51480,1661760,16,31,77,188,382,608,754
1,192,45720,1551600,17,32,73,170,350,588,746
1,0,24000,1045440,21,43,102,238,490,796,960
-1,1632,132600,3155040,11,19,46,101,199,322,386
1,192,33120,1100880,20,52,141,331,647,1030,1266
-1,168,21600,721080,24,72,206,523,1154,2124,2864
1,0,5160,387360,28,68,178,475,1126,2076,2776
0,240,41160,1427040,19,39,76,137,247,393,486
0,1248,114720,2872800,13,21,45,77,138,246,340
0,576,51480,1444320,19,46,110,227,421,656,773
0,0,23400,979200,24,53,108,180,266,352,398
0,240,47280,1550880,18,38,80,152,266,409,514
0,0,23400,979200,23,49,97,160,261,420,566
0,240,47280,1550880,18,37,74,138,259,444,597
0,672,63960,1774800,17,37,82,152,263,436,604
0,432,61920,1805760,16,32,76,172,345,558,684
1,336,50040,1597680,17,33,76,171,336,561,724
0,432,61920,1805760,16,34,80,168,317,522,689
0,0,19920,842400,23,52,129,289,579,943,1181
-1,960,112440,2905920,12,18,46,98,184,293,368
0,0,13080,560160,29,82,234,555,1060,1664,2132
1,0,5400,352800,32,80,196,450,892,1480,1868
0,192,40320,1321920,21,49,113,239,427,632,817
-1,168,28800,1081080,21,48,107,218,394,651,842
0,2424,151980,3356760,11,25,44,83,163,254,342
1,1248,120960,3002400,12,21,42,87,170,294,388
1,1464,132720,3184920,11,21,48,97,169,276,368
0,0,28560,1129680,21,48,105,224,434,679,872
0,0,20280,832320,25,63,157,310,503,676,770
0,864,86640,2285280,15,29,67,119,181,261,338
0,0,20280,832320,24,57,136,266,456,702,956
0,1536,117000,2839680,14,24,46,63,100,186,254
