"COEFFICIENTS","DEN_WALKS2","DEN_WALKS3","DEN_WALKS4","DEN_WALKS5","DEN_WALKS6","DEN_WALKS7","DEN_WALKS8","DEN_WALKS9","DEN_WALKS10","DEN_WALKS11","FGRAPH_WALKS2","FGRAPH_WALKS3","FGRAPH_WALKS4","FGRAPH_WALKS5","FGRAPH_WALKS6","FGRAPH_WALKS7","FGRAPH_WALKS8","FGRAPH_WALKS9","FGRAPH_WALKS10","FGRAPH_WALKS11"
1,24,36,256,850,4224,17556,80432,353196,1587464,7062352,25,45,321,1215,6364,28917,141741,671328,3238690,15488847
1,27,54,423,1690,9726,46571,247655,1246545,6477142,33081829,29,87,589,3060,17786,100310,574481,3278787,18754679,107236822
0,25,42,301,1040,5386,22967,109865,497283,2328110,10721513,28,72,508,2415,13768,73444,404980,2205963,12092793,66132484
-1,25,42,301,1040,5386,22967,109865,497283,2328110,10721513,27,63,423,1815,9750,48076,249015,1268073,6529697,33510411
0,23,30,247,610,3542,11305,56567,205617,951898,3709519,24,42,292,955,4932,19740,93652,404097,1862269,8275322
1,27,54,405,1660,9276,44996,235441,1187532,6110217,31122080,30,93,650,3510,21117,123004,726866,4275615,25202190,148447640
-1,25,42,293,1050,5332,23366,110849,508776,2377355,11025058,27,60,423,1810,10035,49812,262475,1346730,7009587,36242492
1,24,36,250,820,4041,16625,75618,329175,1468484,6480155,26,51,378,1510,8321,39466,203154,1004235,5076546,25366550
0,23,30,223,620,3140,11480,51479,206796,890008,3689774,24,36,276,850,4560,18060,86388,372258,1711524,7585468
1,25,42,297,1070,5464,24066,114705,528846,2482285,11561594,27,60,435,1900,10587,53508,283667,1474980,7741747,40476172
1,27,54,439,1795,10518,51205,276711,1412478,7450167,38577693,29,87,609,3200,18920,108003,626229,3614811,20910234,120886095
-1,25,42,317,1145,6106,26999,132593,617775,2966150,14019445,26,57,398,1720,9299,46151,238878,1216614,6246376,31969454
1,27,54,495,1980,12618,60984,348363,1794969,9858222,52028163,28,81,604,3105,18775,106029,617932,3550482,20536723,118419048
1,27,54,393,1605,8793,42413,218957,1096254,5580762,28188633,31,102,735,4085,25339,151942,925287,5607939,34065176,206782664
-1,25,42,287,1025,5161,22491,106063,483945,2248755,10368699,28,66,488,2220,12784,66654,365216,1958142,10613908,57248224
1,25,42,291,1035,5242,22820,107943,493053,2296275,10606904,28,72,492,2325,13096,69468,379620,2053449,11163953,60587340
-1,25,42,295,1035,5278,22785,108087,491928,2293290,10577457,28,69,500,2290,13147,68887,378276,2037633,11086078,60063091
-1,25,42,291,1020,5185,22323,105739,479769,2232410,10266542,28,69,484,2210,12523,65163,354740,1895739,10231638,54988967
0,26,48,330,1270,6566,30184,147638,704820,3409036,16404531,29,66,533,2420,14489,76552,430241,2349282,13013519,71590893
1,24,36,256,800,4035,16023,73600,314469,1404834,6136141,26,51,358,1400,7427,34587,173102,840156,4149336,20339264
-1,22,27,194,495,2413,8127,34954,130788,537977,2095720,22,27,194,495,2413,8127,34954,130788,537977,2095720
0,24,36,260,825,4116,16464,74968,321354,1430114,6258516,26,48,374,1410,7784,35742,181918,881616,4393746,21608114
1,24,36,260,825,4152,16632,76284,327600,1465389,6427003,26,54,378,1510,8090,38024,192834,945432,4732386,23470304
