COEFFICIENT_DEN,EV_DEN1,EV_DEN2,EV_DEN3,EV_DEN4,EV_DEN5,EV_DEN6,EV_DEN7,EV_DEN8,EV_DEN9,EV_DEN10,EV_FGRAPH0,DEN_WALKS2,DEN_WALKS3,DEN_WALKS4,DEN_WALKS5,DEN_WALKS6,DEN_WALKS7,DEN_WALKS8,DEN_WALKS9,DEN_WALKS10,DEN_WALKS11,CYCLES_MULT3,CYCLES_MULT4,CYCLES_MULT5,CYCLES_MULT6,CYCLES_MULT7,CYCLES_MULT8,CYCLES_MULT9,CYCLES_MULT10,CYCLES_MULT11,CONNECTIVITY,DOUBLE_TRIANGLES
0,-2.0,-1.8101,-1.3385,-1.0,-0.5503,-0.3262,0.5266,2.0225,2.6512,4.4096,-2.8651,24,39,260,830,4086,16254,74028,315777,1406434,6134337,13,18,33,77,189,349,452,372,147,4,12
1,-2.2277,-1.9069,-1.8019,-0.9692,-0.445,-0.156,1.1784,1.247,2.5232,5.0481,-2.9339,27,54,391,1595,8628,41587,212855,1063647,5384712,27120170,18,36,99,232,458,775,1030,908,386,4,16
1,-2.2277,-1.9069,-1.8019,-0.9692,-0.445,-0.156,1.1784,1.247,2.5232,5.0481,-2.8593,27,54,391,1595,8628,41587,212855,1063647,5384712,27120170,18,36,99,232,458,775,1030,908,386,4,16
0,-2.0959,-1.8554,-1.7188,-1.0,-0.5496,-0.1136,1.0192,1.4626,2.5825,4.8409,-3.3172,26,48,342,1295,6809,31017,153034,729435,3547526,17103130,16,29,74,172,343,582,777,685,289,4,13
0,-2.1718,-1.9135,-1.6854,-0.9507,-0.4995,-0.3182,1.0487,1.6171,2.5147,4.8335,-3.2747,26,48,338,1285,6716,30688,150866,719589,3491386,16821343,16,28,72,173,358,616,804,688,287,4,13
0,-1.9675,-1.7801,-1.4761,-1.0,-0.5983,-0.3358,1.1676,1.7106,2.5385,4.4104,-3.0898,24,36,256,800,4059,16016,73944,314181,1407814,6129387,12,17,36,93,208,352,430,352,146,4,5
0,-2.1813,-1.9455,-1.5172,-1.0,-0.4746,-0.2205,0.8436,1.8466,2.4964,4.6267,-2.9353,25,42,295,1030,5248,22568,106891,485268,2258430,10396925,14,22,53,127,267,458,588,495,204,4,10
1,-2.2276,-1.7423,-1.5056,-1.0,-0.5733,-0.1894,0.8894,1.7847,2.494,4.6428,-2.607,25,42,299,1040,5371,23037,110067,499902,2339725,10795246,14,23,55,127,255,444,592,503,208,4,12
1,-2.0,-2.0,-1.4142,-1.3028,-0.2952,-0.0,0.9505,1.4142,2.3028,5.1259,-2.6521,27,54,411,1685,9450,45885,240751,1216854,6277927,32056893,18,39,109,246,452,670,770,622,270,4,14
1,-2.3493,-1.5616,-1.4142,-1.0,-0.9219,-0.0,1.337,1.4142,2.5616,4.4292,-2.8271,24,36,258,820,4140,16576,76242,327420,1466324,6433152,12,17,40,94,200,330,384,302,124,3,9
1,-2.1778,-1.9158,-1.6008,-1.0,-0.7612,-0.4349,1.3453,1.6417,2.3536,5.014,-3.2611,27,54,377,1540,8241,39599,201265,1000098,5029247,25167065,18,33,90,237,521,899,1153,974,401,4,19
1,-2.1778,-1.9158,-1.6008,-1.0,-0.7612,-0.4349,1.3453,1.6417,2.3536,5.014,-3.2384,27,54,377,1540,8241,39599,201265,1000098,5029247,25167065,18,33,90,237,521,899,1153,974,401,4,19
1,-2.1778,-1.9158,-1.6008,-1.0,-0.7612,-0.4349,1.3453,1.6417,2.3536,5.014,-2.6073,27,54,377,1540,8241,39599,201265,1000098,5029247,25167065,18,33,90,237,521,899,1153,974,401,4,19
1,-2.2192,-1.8083,-1.5803,-1.0,-0.9284,-0.4494,1.4449,1.7573,2.3422,4.7985,-3.1,26,48,324,1240,6377,29134,141892,673599,3242851,15523431,16,25,64,178,405,699,883,743,310,4,11
1,-2.2192,-1.8083,-1.5803,-1.0,-0.9284,-0.4494,1.4449,1.7573,2.3422,4.7985,-2.6825,26,48,324,1240,6377,29134,141892,673599,3242851,15523431,16,25,64,178,405,699,883,743,310,4,11
1,-2.2517,-1.5956,-1.4626,-1.0,-0.8645,-0.5437,1.3271,1.9354,2.3285,4.5998,-2.4812,25,42,285,995,5038,21574,101801,459600,2128885,9743943,14,20,47,132,301,512,637,530,220,4,10
1,-2.2517,-1.5956,-1.4626,-1.0,-0.8645,-0.5437,1.3271,1.9354,2.3285,4.5998,-2.9555,25,42,285,995,5038,21574,101801,459600,2128885,9743943,14,20,47,132,301,512,637,530,220,4,10
0,-2.2925,-1.6167,-1.0,-1.0,-1.0,-0.4385,1.2637,1.8884,2.347,4.4285,-2.5524,24,36,256,805,4110,16380,75892,325323,1461884,6408270,12,17,36,94,214,367,446,360,150,4,6
1,-2.2735,-1.6014,-1.4378,-1.0,-0.7623,-0.4288,0.9739,2.1401,2.3164,4.5998,-2.8813,25,42,289,995,5074,21560,102053,459375,2130485,9741336,14,21,48,125,286,509,658,552,226,4,8
0,-1.9291,-1.8233,-1.5881,-1.0,-0.8813,-0.429,1.1323,1.964,2.3558,4.7983,-2.8233,26,48,328,1235,6425,29043,142312,672483,3245696,15510044,16,26,64,172,394,691,896,761,313,4,8
0,-2.0,-1.9043,-1.593,-1.0,-0.7252,-0.4372,1.4448,1.5616,2.3821,4.8329,-2.618,26,48,334,1275,6680,30541,150514,717609,3485586,16787089,16,27,69,180,388,642,808,684,280,4,14
1,-2.2522,-1.6155,-1.4782,-1.0,-0.8213,-0.5308,1.3698,1.6773,2.378,4.8276,-2.6699,26,48,334,1265,6653,30268,149326,710247,3448331,16583556,16,27,67,175,395,678,829,667,270,4,8
1,-2.0,-2.0,-1.8775,-0.9423,-0.618,-0.4004,1.6115,1.618,2.1199,4.8665,-3.1149,26,48,336,1315,6881,32060,158376,764040,3730036,18119387,16,27,73,190,392,630,766,629,260,4,11
1,-2.2538,-2.0,-1.4378,-0.945,-0.6245,-0.4288,1.2755,2.1395,2.1401,4.4083,-2.7901,24,36,248,800,3939,16009,72580,313470,1391864,6104208,12,15,36,101,222,361,434,354,146,4,6
1,-2.0,-1.8476,-1.4823,-1.0,-0.616,-0.3809,1.1944,1.9531,2.3447,4.4132,-2.8202,24,36,252,800,4011,16065,73696,315873,1411434,6172430,12,16,36,95,220,366,438,353,142,4,7
1,-2.3255,-1.854,-1.764,-1.0,-0.5421,-0.2088,1.1769,1.3497,2.5447,5.0252,-3.5079,27,54,385,1565,8403,40334,205317,1021491,5146277,25803558,18,35,95,230,475,827,1114,987,420,4,11
1,-2.3255,-1.854,-1.764,-1.0,-0.5421,-0.2088,1.1769,1.3497,2.5447,5.0252,-2.3778,27,54,385,1565,8403,40334,205317,1021491,5146277,25803558,18,35,95,230,475,827,1114,987,420,4,11
1,-2.1558,-1.8642,-1.5192,-1.0,-0.5624,-0.3551,0.9257,1.9122,2.5126,4.5944,-3.1819,25,42,289,1000,5050,21518,101213,455784,2106815,9626947,14,21,49,124,278,494,644,546,226,4,9
1,-2.1558,-1.8642,-1.5192,-1.0,-0.5624,-0.3551,0.9257,1.9122,2.5126,4.5944,-2.7486,25,42,289,1000,5050,21518,101213,455784,2106815,9626947,14,21,49,124,278,494,644,546,226,4,9
0,-2.0,-1.9383,-1.7633,-1.0,-0.5498,-0.3373,1.0518,1.6646,2.5596,4.8043,-2.6846,26,48,332,1255,6494,29477,143884,681834,3287386,15739284,16,27,68,169,364,647,867,757,320,4,11
1,-2.0,-1.8217,-1.8159,-1.2754,-0.8462,-0.4287,1.4882,1.8932,2.1796,4.9779,-2.5983,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,18,30,83,241,556,966,1238,1059,452,4,11
1,-2.0,-1.8217,-1.8159,-1.2754,-0.8462,-0.4287,1.4882,1.8932,2.1796,4.9779,-2.9321,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,18,30,83,241,556,966,1238,1059,452,4,11
1,-2.0,-1.8217,-1.8159,-1.2754,-0.8462,-0.4287,1.4882,1.8932,2.1796,4.9779,-3.1639,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,18,30,83,241,556,966,1238,1059,452,4,11
1,-2.0,-1.8217,-1.8159,-1.2754,-0.8462,-0.4287,1.4882,1.8932,2.1796,4.9779,-2.8662,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,18,30,83,241,556,966,1238,1059,452,4,11
1,-2.0,-1.8217,-1.8159,-1.2754,-0.8462,-0.4287,1.4882,1.8932,2.1796,4.9779,-2.3054,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,18,30,83,241,556,966,1238,1059,452,4,11
1,-2.0,-1.8217,-1.8159,-1.2754,-0.8462,-0.4287,1.4882,1.8932,2.1796,4.9779,-3.2889,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,18,30,83,241,556,966,1238,1059,452,4,11
1,-2.0,-1.8217,-1.8159,-1.2754,-0.8462,-0.4287,1.4882,1.8932,2.1796,4.9779,-2.4695,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,18,30,83,241,556,966,1238,1059,452,4,11
1,-2.0,-1.8217,-1.8159,-1.2754,-0.8462,-0.4287,1.4882,1.8932,2.1796,4.9779,-3.3489,27,54,363,1495,7845,37709,189591,937611,4676612,23250271,18,30,83,241,556,966,1238,1059,452,4,11
1,-2.0,-1.8909,-1.7098,-1.2093,-0.8602,-0.4054,1.5967,1.8787,2.1374,4.7989,-2.9088,26,48,320,1240,6335,29141,141640,674004,3243276,15537016,16,24,63,185,423,713,881,746,326,4,13
1,-2.0,-1.8909,-1.7098,-1.2093,-0.8602,-0.4054,1.5967,1.8787,2.1374,4.7989,-2.6898,26,48,320,1240,6335,29141,141640,674004,3243276,15537016,16,24,63,185,423,713,881,746,326,4,13
1,-2.0,-1.8909,-1.7098,-1.2093,-0.8602,-0.4054,1.5967,1.8787,2.1374,4.7989,-2.8123,26,48,320,1240,6335,29141,141640,674004,3243276,15537016,16,24,63,185,423,713,881,746,326,4,13
1,-2.2361,-1.7321,-1.6423,-1.0,-1.0,-0.3484,1.6645,1.7321,2.2361,4.6058,-2.6751,25,42,281,1005,5017,21826,102389,465567,2153555,9889682,14,19,47,136,313,526,638,536,236,4,10
1,-2.1028,-1.7472,-1.5153,-1.0,-0.916,-0.4118,1.4224,1.8345,2.3195,4.6088,-2.7337,25,42,285,1005,5077,21882,103269,467853,2170135,9956408,14,20,48,132,301,514,645,544,228,4,8
0,-2.2723,-1.8382,-1.4378,-1.1933,-0.7635,-0.4288,1.3428,2.1297,2.1401,4.5948,-2.8374,25,42,281,995,4966,21469,100565,455622,2103195,9632128,14,19,46,135,312,527,642,534,232,4,7
