COEFFICIENTS,EV_DEN,EV_FGRAPH
0,"[-2.474786   -2.17184562 -1.9134953  -1.68542618 -0.95072436 -0.49952998
 -0.31823077  1.04867892  1.61707518  2.51474177  4.83354234]","[-3.27470527 -2.37960037 -1.90322202 -1.52817515 -0.73079675 -0.25375803
  0.40858568  0.5232506   1.00755102  2.25624211  5.87462817]"
0,"[-2.66937046 -1.96749297 -1.78006756 -1.47607327 -1.         -0.59832757
 -0.33580272  1.16759122  1.7105992   2.53854754  4.41039659]","[-3.08979875 -1.99006054 -1.60186615 -1.56528103 -0.69874127 -0.46580863
 -0.25223429  0.93564072  1.46215701  2.34901236  4.91698057]"
0,"[-2.47412669 -2.18125573 -1.94551153 -1.51718859 -1.         -0.47464457
 -0.22053454  0.84356939  1.84658096  2.49638117  4.62673013]","[-2.93527901 -2.12822366 -1.76563385 -1.18373565 -0.87629821 -0.5345817
 -0.28077758  0.52880055  1.34402753  2.42424409  5.4074575 ]"
-1,"[-2.57271214 -2.22756499 -1.74233834 -1.50562976 -1.         -0.57333646
 -0.1893561   0.8894479   1.7847041   2.49397905  4.64280674]","[-2.60698959 -2.09392103 -1.92895124 -1.29925783 -0.88716777 -0.69069668
 -0.23090899  0.47025552  1.26716487  2.5404248   5.46004794]"
1,"[-2.78117594e+00 -2.00000000e+00 -2.00000000e+00 -1.41421356e+00
 -1.30277564e+00 -2.95194536e-01 -1.05615589e-16  9.50509311e-01
  1.41421356e+00  2.30277564e+00  5.12586116e+00]","[-2.65209632e+00 -2.00000000e+00 -2.00000000e+00 -1.75890303e+00
 -1.30277564e+00 -8.69517314e-01  3.01375718e-16  5.89551564e-01
  1.00000000e+00  2.30277564e+00  6.69096509e+00]"
1,"[-2.49505746e+00 -2.34931242e+00 -1.56155281e+00 -1.41421356e+00
 -1.00000000e+00 -9.21862202e-01 -9.13035456e-17  1.33701234e+00
  1.41421356e+00  2.56155281e+00  4.42921974e+00]","[-2.82707168e+00 -1.63389553e+00 -1.56155281e+00 -1.41421356e+00
 -1.32240339e+00 -1.00000000e+00 -7.43864776e-17  7.86262230e-01
  1.41421356e+00  2.56155281e+00  4.99710837e+00]"
0,"[-2.46402262 -2.17784069 -1.91583424 -1.60076867 -1.         -0.76115943
 -0.43493547  1.34534975  1.64166024  2.35359331  5.01395782]","[-3.26114965e+00 -2.87517149e+00 -1.55898160e+00 -1.17662850e+00
 -8.15868131e-01 -2.94193595e-01 -5.33365635e-16  5.33763476e-01
  1.16336491e+00  2.07199622e+00  6.21286836e+00]"
1,"[-2.46402262 -2.17784069 -1.91583424 -1.60076867 -1.         -0.76115943
 -0.43493547  1.34534975  1.64166024  2.35359331  5.01395782]","[-3.23835288 -2.27280634 -1.5248132  -1.35728262 -1.         -0.76345342
 -0.19154978  0.36113898  1.28579552  2.49050202  6.21082171]"
1,"[-2.46402262 -2.17784069 -1.91583424 -1.60076867 -1.         -0.76115943
 -0.43493547  1.34534975  1.64166024  2.35359331  5.01395782]","[-2.60732509 -2.09393442 -1.89632086 -1.42519636 -0.85549217 -0.72239466
 -0.43726286  0.22466205  1.18397048  2.43574545  6.19354844]"
0,"[-2.35732619 -2.21915722 -1.80831781 -1.5802964  -1.         -0.92835491
 -0.44944043  1.44486985  1.75731348  2.34224684  4.79846279]","[-3.09997548e+00 -2.54924914e+00 -1.58075368e+00 -1.34821576e+00
 -6.37375821e-01 -5.31840480e-01  1.83767021e-16  8.88503777e-01
  1.05506683e+00  2.09452558e+00  5.70931417e+00]"
