"COEFFICIENT_DEN","DEN_EIGEN1","DEN_EIGEN2","DEN_EIGEN3","DEN_EIGEN4","DEN_EIGEN5","DEN_EIGEN6","DEN_EIGEN7","DEN_EIGEN8","DEN_EIGEN9","DEN_EIGEN10","DEN_EIGEN11"
1,-2.781175936535533,-2.,-1.999999999999999,-1.4142135623730954,-1.3027756377319946,-0.29519453570577003,1.0690147654662102e-15,0.9505093108197241,1.4142135623730945,2.3027756377319952,5.125861161421579
1,-2.49505746094518,-2.3493124193735295,-1.5615528128088296,-1.4142135623730938,-1.0000000000000013,-0.9218622020894756,8.281234433465065e-16,1.3370123433524426,1.4142135623730958,2.56155281280883,4.429219739055744
1,-2.4640226188233325,-2.1778406908670567,-1.915834237556968,-1.6007686675906,-0.9999999999999999,-0.7611594287648475,-0.43493547384898845,1.345349746071563,1.641660242426958,2.3535933111566076,5.013957817796664
1,-2.35732618794159,-2.219157216581076,-1.8083178114306813,-1.5802963999729458,-0.9999999999999986,-0.9283549114492348,-0.44944043047680865,1.4448698531525201,1.7573134803697488,2.3422468363871145,4.798462787942948
1,-2.472833908995255,-2.251697376162177,-1.5955720441168122,-1.4625984229747744,-0.9999999999999998,-0.8644606211472086,-0.5436521891269092,1.3271240889620954,1.93543233197003,2.3284530333191396,4.599805108271872
0,-2.5798091715462412,-2.292537146052231,-1.6167166121288188,-1.0000000000000002,-1.0000000000000002,-0.9999999999999998,-0.4385191848151486,1.2636844550307478,1.8884481834313762,2.3469813383151807,4.428468137765133
1,-2.5263654141990135,-2.2734612171759947,-1.6014040399687148,-1.4378287795591496,-0.9999999999999992,-0.7622556449565033,-0.42883267138873965,0.9738917234938695,2.1401226681238827,2.3163500630349985,4.599783312595363
0,-2.5996792429452342,-1.9290842668353332,-1.8233249519715156,-1.588071994937674,-1.000000000000001,-0.8812596867203744,-0.4289913286016208,1.132269905298683,1.963980611750223,2.355831419820858,4.7983295351419875
0,-2.5615528128088303,-2.0000000000000004,-1.9043401572939236,-1.5930194027323274,-1.0000000000000004,-0.725195506624098,-0.4372432775954726,1.4447941246642282,1.5615528128088307,2.3821216516775783,4.832882567904015
1,-2.5545989180301976,-2.252222420931724,-1.6155302365585713,-1.4782074495720987,-0.9999999999999999,-0.821314181481831,-0.530823360288564,1.3698015364210938,1.677307188481775,2.3780104354001073,4.827577406560012
1,-2.3777216948623563,-2.0000000000000027,-1.9999999999999993,-1.8774753212226698,-0.9422759962700923,-0.6180339887498928,-0.40038975880591987,1.6115414332317433,1.6180339887498945,2.119857854860714,4.866463483068582
1,-2.2734612171759947,-2.253787674560819,-1.9999999999999991,-1.4378287795591498,-0.9450304213720471,-0.624457313561782,-0.4288326713887402,1.2755064218552787,2.1394560707188024,2.1401226681238845,4.408312916920562
1,-2.5786089068415783,-2.000000000000001,-1.847555211677493,-1.4823468990297488,-0.9999999999999998,-0.6160268675141204,-0.380899192717699,1.1943709916675858,1.9531388281749114,2.3447183823925926,4.413208875545549
1,-2.402127800551075,-2.325495095608538,-1.8540470181169193,-1.764018408755929,-1.0000000000000007,-0.5420944654049152,-0.20876611333859038,1.1769226864468674,1.3497015214698522,2.544713892683506,5.025210801175742
1,-2.4882633658721187,-2.1557734192332423,-1.8641982431168018,-1.5191763752199408,-1.0000000000000004,-0.5624159470850503,-0.35512533209530067,0.9256675873828367,1.9122146037880816,2.5126274494281167,4.5944430420234195
